sm_update_date,sm_id,sm_name,sm_gender,sm_date_of_birth,sm_gov_id,sm_employee_id,sm_experience,sm_contact_number,sm_email,sm_address_line_1,sm_address_line_2,sm_address_line_3,sm_city,sm_district,sm_state,sm_country,sm_pin_code,sm_since,sm_reporting_to,sm_service_area_type,sm_assigned_region,sm_product
2025-08-12,SM1021,Hrishita Yogi,M,1979-09-19,UID-337909686529,EMP59578,4,97803809121,hrishita.mgr82@example.com,15/02 Ramanathan Road,Viswanathan Zila,Street,Nagpur,Nagpur,Maharashtra,India,466246,2021-12-19,SM903,Town,Maharashtra Region,Life
2025-08-12,SM1022,Tanya Tripathi,M,1990-01-11,UID-706345690013,EMP74903,15,98876513973,tanya.mgr73@example.com,887 Vala Ganj,Iyer Road,Street,Coimbatore,Coimbatore,Tamil Nadu,India,685864,2010-11-05,SM950,City,Tamil Nadu Region,Life
2025-08-12,SM1023,Madhup Viswanathan,M,1986-09-07,ADHAR-5962-4707-8928,EMP53281,8,97128914085,madhup.mgr53@example.com,86/415 Ghose Chowk,Sood Nagar,Street,Mysore,Mysore,Karnataka,India,582353,2023-07-30,SM928,City,Karnataka Region,Motor
2025-08-12,SM1024,Arnav Warrior,M,1977-03-10,VOTER-E956067,EMP81514,8,98513018002,arnav.mgr73@example.com,25/74- Shroff Ganj,Bora Ganj,Street,New Delhi,New Delhi,Delhi,India,110055,2021-04-13,SM949,City,Delhi Region,Motor
2025-08-12,SM1025,Kavya Bera,M,1986-05-04,ADHAR-5260-2808-8144,EMP56791,12,98770177487,kavya.mgr47@example.com,H.No. 05- Rao Ganj,Sachdev Road,Street,Mumbai,Mumbai,Maharashtra,India,418642,2022-08-04,SM909,Rural,Maharashtra Region,Health
2025-08-12,SM1026,Divit Behl,M,1979-11-08,VOTER-B243874,EMP94893,4,97427398487,divit.mgr70@example.com,H.No. 532- Kuruvilla Circle,Wable Circle,Street,Chennai,Chennai,Tamil Nadu,India,692768,2022-12-28,SM927,City,Tamil Nadu Region,Life
2025-08-12,SM1027,Rasha Badami,M,1978-10-22,UID-794520077820,EMP69519,15,99861634100,rasha.mgr93@example.com,71/47- Chauhan Marg,Kumar Road,Street,Bangalore,Bangalore,Karnataka,India,574355,2012-11-04,SM906,Rural,Karnataka Region,Life
2025-08-12,SM1028,Jhanvi Dyal,M,1989-07-26,VOTER-E650037,EMP23117,7,99783544061,jhanvi.mgr69@example.com,455 Ganguly Chowk,Keer Circle,Street,Howrah,Howrah,West Bengal,India,789563,2020-03-04,SM922,Town,West Bengal Region,Motor
2025-08-12,SM1029,Ojas Manne,M,1972-03-09,UID-991189131264,EMP79159,6,99974956784,ojas.mgr85@example.com,54/350 Kalita Circle,Borra Ganj,Street,Nagpur,Nagpur,Maharashtra,India,433859,2019-06-13,SM944,Town,Maharashtra Region,All
2025-08-12,SM1030,Neelofar Gandhi,M,1993-11-23,UID-566763812247,EMP80315,16,97868420394,neelofar.mgr46@example.com,748- Sandal Ganj,Agarwal Chowk,Street,New Delhi,New Delhi,Delhi,India,110045,2015-12-16,SM948,Town,Delhi Region,Life
2025-08-12,SM1031,Kiara Rama,F,1980-07-16,UID-242766051715,EMP18104,11,98219318181,kiara.mgr93@example.com,40/96 Dugar Chowk,Kota Zila,Street,Coimbatore,Coimbatore,Tamil Nadu,India,614385,2013-12-22,SM929,Rural,Tamil Nadu Region,Motor
2025-08-12,SM1032,Jivin Wali,F,1981-05-29,VOTER-D177442,EMP37619,0,99862075281,jivin.mgr50@example.com,11/75 Krishna Street,Ramakrishnan Ganj,Street,Pune,Pune,Maharashtra,India,457663,2025-07-13,SM928,Town,Maharashtra Region,Motor
2025-08-12,SM1033,Mehul Chakraborty,F,1975-01-26,UID-232560993310,EMP35992,4,98687668687,mehul.mgr36@example.com,15/600- Mallick Zila,Dutt Ganj,Street,Nagpur,Nagpur,Maharashtra,India,453456,2023-09-09,SM917,City,Maharashtra Region,Life
2025-08-12,SM1034,Siya Kaul,M,1992-08-30,VOTER-C311220,EMP25470,2,98922997721,siya.mgr77@example.com,H.No. 07 Atwal Chowk,Ratti Circle,Street,New Delhi,New Delhi,Delhi,India,110070,2023-12-18,SM950,City,Delhi Region,Life
2025-08-12,SM1035,Samaira Gola,M,1978-06-15,VOTER-A238292,EMP96124,14,97770038050,samaira.mgr36@example.com,H.No. 87 Chada,Jhaveri Nagar,Street,Kolkata,Kolkata,West Bengal,India,708540,2016-02-22,SM917,City,West Bengal Region,All
2025-08-12,SM1036,Shanaya Kar,M,1980-06-22,VOTER-E576860,EMP39164,0,97670759075,shanaya.mgr11@example.com,800 Jani,Raju,Street,Coimbatore,Coimbatore,Tamil Nadu,India,671943,2025-08-09,SM933,City,Tamil Nadu Region,Health
2025-08-12,SM1037,Nirvi Dhaliwal,M,1989-07-18,ADHAR-5301-8744-1170,EMP64615,22,98332357015,nirvi.mgr97@example.com,83/796 Roy Circle,Wable,Street,New Delhi,New Delhi,Delhi,India,110032,2003-11-20,SM942,Town,Delhi Region,Life
2025-08-12,SM1038,Vedika Zachariah,M,1981-12-30,ADHAR-8232-7817-7433,EMP97968,9,97823214191,vedika.mgr51@example.com,29 Lad Road,Devi Street,Street,New Delhi,New Delhi,Delhi,India,110036,2022-08-14,SM938,Rural,Delhi Region,Life
2025-08-12,SM1039,Nirvaan Tiwari,M,1989-12-17,ADHAR-4984-5294-5904,EMP44652,2,97073452718,nirvaan.mgr89@example.com,19/16 Sehgal,Khatri Ganj,Street,Howrah,Howrah,West Bengal,India,728722,2024-05-25,SM945,Rural,West Bengal Region,Motor
2025-08-12,SM1040,Indrans Dixit,M,1995-03-24,ADHAR-7820-3493-2609,EMP96950,15,99709731181,indrans.mgr23@example.com,H.No. 38 Boase Street,Goswami Chowk,Street,Chennai,Chennai,Tamil Nadu,India,611036,2015-06-04,SM915,City,Tamil Nadu Region,Life
2025-08-12,SM1041,Biju Thakkar,M,1983-06-29,UID-264096342234,EMP86361,4,97100593027,biju.mgr21@example.com,H.No. 157- Kunda Circle,Rout Street,Street,Nagpur,Nagpur,Maharashtra,India,425446,2021-10-17,SM925,Rural,Maharashtra Region,Life
2025-08-12,SM1042,Aniruddh Borra,M,1986-04-28,VOTER-A420698,EMP29132,9,98058317862,aniruddh.mgr72@example.com,61/01- Devan Zila,Seshadri Chowk,Street,Mumbai,Mumbai,Maharashtra,India,427003,2017-04-07,SM932,Rural,Maharashtra Region,Motor
2025-08-12,SM1043,Faiyaz Rana,M,1984-02-24,UID-688434917352,EMP71043,8,99562692585,faiyaz.mgr60@example.com,91/020- Ghose Path,Gola Chowk,Street,Madurai,Madurai,Tamil Nadu,India,675342,2023-05-05,SM929,Town,Tamil Nadu Region,All
2025-08-12,SM1044,Jivin Chandran,M,1990-02-27,VOTER-C963870,EMP81777,5,99622460787,jivin.mgr99@example.com,H.No. 401- Dixit Ganj,Sant Nagar,Street,Howrah,Howrah,West Bengal,India,765844,2025-04-20,SM940,Town,West Bengal Region,Life
2025-08-12,SM1045,Kartik Dube,M,1975-06-19,VOTER-C665365,EMP64147,0,98970874132,kartik.mgr19@example.com,H.No. 315 Madan,Chaudhari Ganj,Street,Mumbai,Mumbai,Maharashtra,India,460225,2025-08-10,SM904,Town,Maharashtra Region,Health
2025-08-12,SM1046,Rania Varghese,M,1972-03-12,ADHAR-7929-5456-8005,EMP57454,14,99541143715,rania.mgr73@example.com,95 Lad,Sarna Street,Street,Coimbatore,Coimbatore,Tamil Nadu,India,654869,2022-11-14,SM936,City,Tamil Nadu Region,Life
2025-08-12,SM1047,Ira Ravi,F,1975-05-13,UID-967653430495,EMP41863,7,97558328554,ira.mgr11@example.com,962 Bahri Road,Ghosh Road,Street,Mysore,Mysore,Karnataka,India,584534,2019-06-10,SM908,City,Karnataka Region,Health
2025-08-12,SM1048,Vaibhav Khalsa,M,1972-11-11,VOTER-C960628,EMP31784,22,99245813317,vaibhav.mgr32@example.com,H.No. 278- Raman Path,Saha Circle,Street,Bangalore,Bangalore,Karnataka,India,580603,2024-02-18,SM944,Rural,Karnataka Region,Life
2025-08-12,SM1049,Parinaaz Thaman,F,1976-06-08,VOTER-B798788,EMP87045,2,98279593018,parinaaz.mgr15@example.com,54/52 Ghose Circle,Hora Chowk,Street,Mumbai,Mumbai,Maharashtra,India,406530,2023-09-19,SM920,Town,Maharashtra Region,Health
