policy_number,previous_policy_number,policy_renewal_indicator,portability_indicator,policy_status,policy_issuance_type,policy_classification,group_policy_classification,policy_issue_date,policy_start_date,policy_end_date,cancellation_termination_date,agent_id,sales_manager_id,member_id1,member_id2,member_id3,member_id4,member_id5,sum_insured,total_policy_premium,premium_installment_type,premium_paid_till_date,policy_porting_date,policy_inclusion_date,policy_inclusion_ind,number_of_insured,minimum_possible_si,susp_policy_ind,proposer_mobile_no,policy_procurement_area,previous_sum_insured,policy_renewal_date,prev_policy_expiry_date,intermediary_type,first_policy_number,product_uin,plan_name,product_cd
POL-38875,,N,N,IF,U,I,,2023-09-04,2023-09-05,2024-09-03,,AG1034,SM1012,MEMBER-010314,MEMBER-003766,MEMBER-001580,MEMBER-007594,,1480312.47,45212.61,Y,45212.61,,,No,4,1014056.37,No,9742187507,Urban,,,,IND,POL-38875,UIN-165,Plan B,TERM_LIFE
POL-20103,,N,N,IF,S,I,,2023-09-21,2023-09-24,2024-09-22,,AG1125,SM1039,MEMBER-011189,MEMBER-003886,MEMBER-001345,MEMBER-011786,MEMBER-011907,2429239.91,209136.0,Y,209136.0,,,No,5,1354898.3,No,9367442732,Urban,,,,ORG,POL-20103,UIN-343,Plan A,IND_HEALTH
POL-44923,,N,N,IF,S,G,E,2024-01-07,2024-01-11,2025-01-09,,AG1088,SM1012,MEMBER-012683,MEMBER-012970,MEMBER-003199,MEMBER-009872,,8630390.94,377108.35,H,188554.17,,,No,4,6456107.37,No,9290468433,Urban,,,,IND,POL-44923,UIN-781,Plan A,TERM_LIFE
POL-22866,POL-14778,Y,N,IF,U,I,,2024-05-09,2024-05-14,2025-05-13,,AG1095,SM1001,MEMBER-007876,MEMBER-008592,MEMBER-011323,MEMBER-013063,MEMBER-011948,1580199.33,65218.94,Y,65218.94,,2024-09-06,Yes,5,927115.31,No,9088045293,Rural,1827908.34,2024-05-14,2024-05-13,IND,POL-14778,UIN-261,Plan C,GROUP_HEALTH
POL-19070,,N,N,IF,U,I,,2023-07-01,2023-07-02,2024-06-30,,AG1022,SM1018,MEMBER-008374,MEMBER-012346,MEMBER-006351,MEMBER-007730,,901311.42,15376.86,Y,15376.86,,,No,4,592869.8,No,9593569758,Rural,,,,IND,POL-19070,UIN-692,Plan C,FAMILY_HEALTH_OPTIMA
POL-48698,POL-24459,Y,N,IF,U,I,,2023-12-10,2023-12-14,2024-12-12,,AG1090,SM1008,MEMBER-013617,MEMBER-001810,MEMBER-000959,MEMBER-012415,,105840.8,5919.0,Y,5919.0,,,No,4,69532.69,No,9400186906,Urban,109055.59,2023-12-14,2023-12-13,IND,POL-24459,UIN-589,Plan C,PERSONAL_ACCIDENT
POL-16793,,N,N,IF,S,I,,2023-07-21,2023-07-21,2024-07-19,,AG1163,SM1007,MEMBER-008247,MEMBER-014913,MEMBER-006831,,,910545.99,20015.65,H,10007.83,,,No,3,464821.84,No,9865230433,Urban,,,,IND,POL-16793,UIN-438,Plan A,CRITICAL_ILLNESS
POL-18992,,N,N,IF,S,I,,2024-01-04,2024-01-06,2025-01-04,,AG1080,SM1035,MEMBER-012243,MEMBER-001637,,,,1383910.59,97613.64,H,48806.82,,2024-11-30,Yes,2,896555.66,No,9088475350,Rural,,,,IND,POL-18992,UIN-172,Plan C,GROUP_HEALTH
POL-24287,,N,N,IF,S,G,E,2023-08-20,2023-08-20,2024-08-18,,AG1008,SM1037,MEMBER-009866,,,,,9574676.1,546964.74,Y,546964.74,,,No,1,6203388.49,No,9878729718,Urban,,,,IND,POL-24287,UIN-514,Plan C,FAMILY_HEALTH_OPTIMA
POL-16825,POL-20678,Y,N,XP,S,I,,2024-03-18,2024-03-20,2025-03-19,,AG1145,SM1010,MEMBER-014293,,,,,1026981.71,94357.17,Q,70767.88,,,No,1,793869.89,No,9472282626,Rural,1028777.28,2024-03-20,2024-03-19,IND,POL-20678,UIN-746,Plan B,PERSONAL_ACCIDENT
POL-44245,,N,N,IF,U,I,,2024-03-16,2024-03-20,2025-03-19,,AG1007,SM1011,MEMBER-004159,MEMBER-001058,MEMBER-003146,,,1555238.87,68737.8,H,68737.8,,,No,3,878318.67,No,9158145828,Rural,,,,IND,POL-44245,UIN-105,Plan C,CRITICAL_ILLNESS
POL-19323,,N,N,IF,S,I,,2023-02-24,2023-03-01,2024-02-28,,AG1137,SM1040,MEMBER-005272,MEMBER-010736,MEMBER-006923,MEMBER-001235,MEMBER-003770,2218938.95,203874.89,Y,203874.89,,2023-05-05,Yes,5,1537813.71,No,9371707348,Rural,,,,IND,POL-19323,UIN-259,Plan A,GROUP_HEALTH
POL-16534,POL-23347,N,Y,CP,S,I,,2024-04-23,2024-04-25,2025-04-24,2025-01-01,AG1093,SM1026,MEMBER-003322,,,,,2153239.52,205733.26,Y,205733.26,2024-04-25,,No,1,1398109.13,No,9326803391,Rural,1529906.84,,2024-04-24,IND,POL-23347,UIN-703,Plan C,FAMILY_HEALTH_OPTIMA
POL-28797,POL-19070,N,Y,IF,U,I,,2024-01-25,2024-01-26,2025-01-24,,AG1100,SM1013,MEMBER-006922,MEMBER-008970,MEMBER-002146,MEMBER-003132,,1669202.83,138672.87,M,46224.29,2024-01-26,,No,4,976727.14,No,9445735230,Urban,1386242.04,,2024-01-25,IND,POL-19070,UIN-571,Plan A,PERSONAL_ACCIDENT
POL-27155,POL-38875,Y,N,CP,S,G,E,2024-03-21,2024-03-22,2025-03-21,2024-12-11,AG1087,SM1040,MEMBER-010793,MEMBER-014875,,,,980325.09,36982.14,M,6163.69,,,No,2,602240.44,No,9998486530,Urban,794603.15,2024-03-22,2024-03-21,IND,POL-38875,UIN-406,Plan C,IND_HEALTH
POL-49312,,N,N,IF,S,I,,2023-09-05,2023-09-10,2024-09-08,,AG1062,SM1006,MEMBER-013812,MEMBER-002750,MEMBER-004647,,,1473322.56,96719.3,Q,72539.48,,,No,3,870826.78,No,9594446305,Urban,,,,DIR,POL-49312,UIN-120,Plan C,TERM_LIFE
POL-18534,POL-18992,Y,N,IF,U,I,,2024-01-16,2024-01-21,2025-01-19,,AG1126,SM1018,MEMBER-012572,MEMBER-007283,MEMBER-002788,,,1106916.76,52699.7,Q,39524.77,,,No,3,666617.44,No,9314830517,Urban,1009831.49,2024-01-21,2024-01-20,IOC,POL-18992,UIN-260,Plan C,PERSONAL_ACCIDENT
POL-47702,POL-37240,N,Y,XP,S,I,,2023-07-23,2023-07-23,2024-07-21,,AG1136,SM1021,MEMBER-007989,MEMBER-011928,MEMBER-002680,MEMBER-014919,MEMBER-004384,231980.91,13454.93,H,13454.93,2023-07-23,,No,5,146090.58,No,9473344996,Rural,262885.12,,2023-07-22,IOC,POL-37240,UIN-936,Plan B,GROUP_HEALTH
POL-34605,POL-42121,Y,N,IF,S,I,,2023-03-23,2023-03-28,2024-03-26,,AG1042,SM1001,MEMBER-008641,MEMBER-000886,MEMBER-005432,MEMBER-003090,,874189.34,9716.17,H,4858.09,,,No,4,512937.19,No,9392659987,Rural,985399.83,2023-03-28,2023-03-27,IND,POL-42121,UIN-542,Plan B,IND_HEALTH
POL-37805,,N,N,IF,S,I,,2024-08-07,2024-08-07,2025-08-06,,AG1050,SM1037,MEMBER-005448,,,,,221169.69,12567.48,Y,12567.48,,,No,1,111080.63,No,9696399734,Rural,,,,IND,POL-37805,UIN-400,Plan B,IND_HEALTH
POL-46666,,N,N,IF,S,I,,2023-06-14,2023-06-14,2024-06-12,,AG1139,SM1012,MEMBER-006953,MEMBER-008040,MEMBER-001834,MEMBER-003300,MEMBER-011460,2167345.14,144593.28,Q,144593.28,,,No,5,1246881.63,No,9636657797,Urban,,,,IND,POL-46666,UIN-174,Plan C,CRITICAL_ILLNESS
POL-21405,,N,N,XP,U,I,,2023-02-16,2023-02-18,2024-02-17,,AG1189,SM1042,MEMBER-014011,MEMBER-008635,MEMBER-004063,MEMBER-006994,MEMBER-001483,1231000.86,108228.25,H,108228.25,,,No,5,904054.87,No,9756394452,Rural,,,,ORG,POL-21405,UIN-738,Plan A,PERSONAL_ACCIDENT
POL-49977,,N,N,XP,S,I,,2023-09-21,2023-09-23,2024-09-21,,AG1013,SM1025,MEMBER-006388,MEMBER-009609,,,,2468378.46,122250.56,Y,122250.56,,,No,2,1641633.62,No,9673643218,Rural,,,,SPP,POL-49977,UIN-280,Plan A,GROUP_HEALTH
POL-16990,,N,N,IF,S,I,,2023-09-23,2023-09-25,2024-09-23,,AG1149,SM1006,MEMBER-005615,,,,,1057785.15,70366.39,Y,70366.39,,,No,1,630598.53,No,9886104029,Rural,,,,IND,POL-16990,UIN-883,Plan A,TERM_LIFE
POL-45943,POL-24459,N,Y,IF,S,I,,2023-10-18,2023-10-19,2024-10-17,,AG1163,SM1028,MEMBER-001291,MEMBER-006753,MEMBER-002616,,,201266.17,6782.58,Y,6782.58,2023-10-19,,No,3,126678.44,No,9316331241,Rural,201544.92,,2023-10-18,IOC,POL-24459,UIN-134,Plan B,FAMILY_HEALTH_OPTIMA
POL-20750,,N,N,IF,S,I,,2024-02-18,2024-02-18,2025-02-16,,AG1070,SM1030,MEMBER-009870,MEMBER-001737,,,,1435134.65,56078.68,H,28039.34,,,No,2,890832.61,No,9878682135,Urban,,,,ORG,POL-20750,UIN-652,Plan B,IND_HEALTH
POL-46996,,N,N,IF,U,I,,2023-04-03,2023-04-03,2024-04-01,,AG1031,SM1004,MEMBER-006992,MEMBER-008114,MEMBER-006577,MEMBER-004168,,1422014.1,79962.18,Y,79962.18,,,No,4,754311.37,No,9135260024,Rural,,,,IND,POL-46996,UIN-670,Plan A,GROUP_HEALTH
POL-25876,,N,N,TM,U,I,,2023-08-28,2023-08-28,2024-08-26,2023-11-19,AG1167,SM1014,MEMBER-014653,MEMBER-002375,MEMBER-014725,,,238930.43,13616.38,Y,13616.38,,,No,3,128216.64,No,9328720940,Urban,,,,IND,POL-25876,UIN-297,Plan C,FAMILY_HEALTH_OPTIMA
POL-20117,POL-28797,Y,N,IF,S,I,,2024-01-21,2024-01-22,2025-01-20,,AG1192,SM1041,MEMBER-005900,MEMBER-004892,,,,641419.69,44332.8,Q,11083.2,,,No,2,422044.06,No,9651086405,Rural,689234.47,2024-01-22,2024-01-21,IOC,POL-28797,UIN-690,Plan B,IND_HEALTH
POL-26041,,N,N,IF,S,I,,2023-08-21,2023-08-23,2024-08-21,,AG1135,SM1036,MEMBER-013822,MEMBER-013541,,,,185335.39,4526.95,Q,1131.74,,,No,2,103818.78,No,9345477500,Rural,,,,IOC,POL-26041,UIN-695,Plan C,FAMILY_HEALTH_OPTIMA
POL-22016,,N,N,XP,S,I,,2023-09-06,2023-09-06,2024-09-04,,AG1166,SM1012,MEMBER-001813,,,,,2058007.98,135151.99,H,135151.99,,,No,1,1567566.92,No,9653334695,Rural,,,,IND,POL-22016,UIN-967,Plan C,TERM_LIFE
POL-39988,,N,N,IF,S,I,,2024-01-26,2024-01-28,2025-01-26,,AG1114,SM1036,MEMBER-007390,MEMBER-014026,,,,2496899.21,196769.14,Q,147576.86,,,No,2,1816705.32,No,9204441045,Rural,,,,IND,POL-39988,UIN-488,Plan B,PERSONAL_ACCIDENT
POL-28619,,N,N,IF,S,I,,2023-12-26,2023-12-28,2024-12-26,,AG1147,SM1022,MEMBER-000365,MEMBER-009445,MEMBER-011687,MEMBER-012396,MEMBER-007034,1459649.85,75066.15,M,62555.12,,,No,5,1024387.39,No,9958688734,Rural,,,,SPP,POL-28619,UIN-925,Plan A,FAMILY_HEALTH_OPTIMA
POL-42537,POL-49977,N,Y,IF,S,I,,2023-06-25,2023-06-26,2024-06-24,,AG1010,SM1035,MEMBER-007167,MEMBER-012811,,,,1683153.81,76612.22,Y,76612.22,2023-06-26,2023-09-19,Yes,2,1127604.14,No,9042210902,Urban,1640110.09,,2023-06-25,IND,POL-49977,UIN-527,Plan C,IND_HEALTH
POL-17972,,N,N,IF,S,I,,2023-02-11,2023-02-11,2024-02-10,,AG1041,SM1024,MEMBER-003431,MEMBER-014990,MEMBER-007752,MEMBER-008760,,714913.91,24687.1,H,12343.55,,,No,4,548243.04,No,9215279484,Rural,,,,IOC,POL-17972,UIN-148,Plan A,GROUP_HEALTH
POL-15065,,N,N,IF,S,I,,2023-07-06,2023-07-10,2024-07-08,,AG1192,SM1028,MEMBER-002297,,,,,638134.31,43458.68,Q,21729.34,,,No,1,326596.81,No,9816924260,Rural,,,,ORG,POL-15065,UIN-631,Plan B,GROUP_HEALTH
POL-32649,,N,N,IF,S,I,,2023-10-14,2023-10-19,2024-10-17,,AG1041,SM1048,MEMBER-007240,MEMBER-000947,,,,664583.05,13377.63,Y,13377.63,,,No,2,506203.83,No,9721746435,Urban,,,,IND,POL-32649,UIN-922,Plan C,TERM_LIFE
POL-24319,POL-21405,N,Y,IF,U,I,,2023-02-14,2023-02-14,2024-02-13,,AG1039,SM1045,MEMBER-003620,MEMBER-002680,MEMBER-014561,MEMBER-001707,,354987.54,21496.5,Y,21496.5,2023-02-14,,No,4,219349.18,No,9728892656,Urban,350207.52,,2023-02-13,IND,POL-21405,UIN-574,Plan C,GROUP_HEALTH
POL-29888,,N,N,IF,S,I,,2024-04-14,2024-04-18,2025-04-17,,AG1093,SM1003,MEMBER-012176,MEMBER-009558,MEMBER-009954,MEMBER-001097,,1517344.48,141036.17,H,70518.09,,,No,4,948729.36,No,9237688883,Urban,,,,IOC,POL-29888,UIN-866,Plan C,IND_HEALTH
POL-16657,,N,N,IF,U,I,,2023-09-02,2023-09-03,2024-09-01,,AG1057,SM1042,MEMBER-002367,MEMBER-011482,MEMBER-014147,MEMBER-008158,MEMBER-000942,1852911.08,180741.82,Y,180741.82,,,No,5,1412968.46,No,9796733594,Rural,,,,IND,POL-16657,UIN-344,Plan B,GROUP_HEALTH
POL-30066,,N,N,IF,S,I,,2024-01-23,2024-01-28,2025-01-26,,AG1066,SM1016,MEMBER-009890,MEMBER-006852,,,,1789380.38,61950.04,Y,61950.04,,,No,2,952767.16,No,9284625316,Rural,,,,IND,POL-30066,UIN-566,Plan C,TERM_LIFE
POL-43330,,N,N,IF,U,I,,2024-05-13,2024-05-14,2025-05-13,,AG1075,SM1010,MEMBER-008805,MEMBER-010480,MEMBER-012162,,,708788.24,27397.47,Y,27397.47,,,No,3,524171.63,No,9231394658,Rural,,,,IND,POL-43330,UIN-199,Plan A,CRITICAL_ILLNESS
POL-22821,,N,N,IF,S,G,E,2024-05-29,2024-06-02,2025-06-01,,AG1155,SM1003,MEMBER-000031,,,,,1548140.29,94159.97,Y,94159.97,,,No,1,788541.79,No,9337152346,Rural,,,,IOC,POL-22821,UIN-695,Plan A,CRITICAL_ILLNESS
POL-32315,,N,N,IF,U,I,,2024-04-18,2024-04-21,2025-04-20,,AG1061,SM1026,MEMBER-001701,MEMBER-010704,,,,1602115.65,99246.8,Q,99246.8,,,No,2,807866.73,No,9025863939,Urban,,,,IND,POL-32315,UIN-580,Plan A,TERM_LIFE
POL-27288,,N,N,CP,S,I,,2023-11-28,2023-12-01,2024-11-29,2024-02-04,AG1022,SM1016,MEMBER-009951,MEMBER-006104,MEMBER-003818,,,2395284.84,239016.62,Y,239016.62,,,No,3,1501627.91,No,9671383940,Urban,,,,ORG,POL-27288,UIN-827,Plan C,FAMILY_HEALTH_OPTIMA
POL-39562,,N,N,IF,S,I,,2024-01-11,2024-01-11,2025-01-09,,AG1175,SM1048,MEMBER-011070,MEMBER-000995,,,,1556790.71,155480.65,Y,155480.65,,,No,2,819231.56,No,9383514887,Urban,,,,DIR,POL-39562,UIN-605,Plan B,PERSONAL_ACCIDENT
POL-46197,POL-21323,N,Y,IF,S,I,,2024-06-16,2024-06-18,2025-06-17,,AG1184,SM1004,MEMBER-003038,,,,,2279162.5,186615.77,H,186615.77,2024-06-18,,No,1,1675508.3,No,9212290121,Urban,2271735.4,,2024-06-17,IND,POL-21323,UIN-227,Plan B,TERM_LIFE
POL-42354,,N,N,TM,S,I,,2024-01-05,2024-01-08,2025-01-06,2024-04-27,AG1150,SM1042,MEMBER-008438,MEMBER-012165,,,,1051371.01,94399.46,Y,94399.46,,,No,2,555974.4,No,9259827851,Urban,,,,ORG,POL-42354,UIN-321,Plan C,PERSONAL_ACCIDENT
POL-43895,,N,N,IF,S,I,,2023-02-13,2023-02-15,2024-02-14,,AG1007,SM1034,MEMBER-005116,MEMBER-004237,MEMBER-010730,,,2004764.11,104360.57,Y,104360.57,,,No,3,1517087.53,No,9792057774,Urban,,,,ORG,POL-43895,UIN-745,Plan B,PERSONAL_ACCIDENT
POL-23174,POL-39988,Y,N,IF,U,G,N,2024-02-04,2024-02-06,2025-02-04,,AG1194,SM1019,MEMBER-003793,,,,,9380859.29,913290.33,Y,913290.33,,,No,1,6780085.86,No,9137137101,Rural,11126637.14,2024-02-06,2024-02-05,IND,POL-39988,UIN-490,Plan B,TERM_LIFE
POL-33260,,N,N,IF,S,I,,2024-07-09,2024-07-10,2025-07-09,,AG1118,SM1049,MEMBER-011062,MEMBER-014487,MEMBER-005709,,,942258.75,50944.07,M,12736.02,,,No,3,606985.83,No,9518283075,Rural,,,,IND,POL-33260,UIN-119,Plan A,IND_HEALTH
POL-32003,,N,N,XP,S,I,,2023-08-13,2023-08-17,2024-08-15,,AG1143,SM1042,MEMBER-001202,,,,,2263933.11,123457.29,Y,123457.29,,,No,1,1663324.86,No,9547119350,Rural,,,,ORG,POL-32003,UIN-205,Plan B,PERSONAL_ACCIDENT
POL-17525,,N,N,IF,S,G,E,2023-09-29,2023-09-30,2024-09-28,,AG1134,SM1031,MEMBER-001640,MEMBER-002748,MEMBER-012725,MEMBER-011404,MEMBER-011128,5941447.97,348184.06,Y,348184.06,,,No,5,4576176.2,No,9391903418,Rural,,,,IND,POL-17525,UIN-920,Plan C,TERM_LIFE
POL-45161,,N,N,TM,U,I,,2023-07-03,2023-07-03,2024-07-01,2024-05-25,AG1133,SM1042,MEMBER-010249,MEMBER-013737,MEMBER-009895,MEMBER-012685,MEMBER-013807,1871064.83,115081.7,Q,28770.42,,,No,5,1304657.75,No,9029569760,Urban,,,,IND,POL-45161,UIN-187,Plan A,CRITICAL_ILLNESS
POL-16481,,N,N,CP,S,I,,2023-10-28,2023-10-31,2024-10-29,2024-08-12,AG1196,SM1014,MEMBER-008630,MEMBER-003014,MEMBER-004885,,,1393926.59,113880.33,Y,113880.33,,,No,3,764770.73,No,9490149651,Rural,,,,SPP,POL-16481,UIN-574,Plan C,PERSONAL_ACCIDENT
POL-47411,,N,N,IF,S,G,N,2024-01-09,2024-01-10,2025-01-08,,AG1166,SM1042,MEMBER-000763,MEMBER-012039,MEMBER-002625,MEMBER-008230,,1789571.64,172979.71,M,158564.73,,,No,4,1082807.67,No,9873043662,Urban,,,,DIR,POL-47411,UIN-885,Plan B,IND_HEALTH
POL-24803,,N,N,IF,U,I,,2024-07-06,2024-07-10,2025-07-09,,AG1017,SM1044,MEMBER-014685,MEMBER-005905,,,,1342129.95,96032.58,Q,24008.15,,,No,2,715617.18,No,9827887056,Rural,,,,IND,POL-24803,UIN-807,Plan A,TERM_LIFE
POL-38411,POL-34605,Y,N,IF,S,I,,2024-06-18,2024-06-23,2025-06-22,,AG1145,SM1040,MEMBER-000109,MEMBER-003611,MEMBER-010847,MEMBER-011460,MEMBER-004435,2251728.5,180303.33,M,90151.66,,,No,5,1178879.08,No,9092521616,Rural,2433752.83,2024-06-23,2024-06-22,IND,POL-34605,UIN-844,Plan C,CRITICAL_ILLNESS
POL-19760,,N,N,IF,S,I,,2023-05-20,2023-05-20,2024-05-18,,AG1031,SM1041,MEMBER-001075,,,,,991983.05,19809.49,Y,19809.49,,,No,1,621103.48,No,9605706559,Rural,,,,IOC,POL-19760,UIN-736,Plan B,GROUP_HEALTH
POL-25067,,N,N,IF,U,I,,2023-11-30,2023-12-01,2024-11-29,,AG1199,SM1043,MEMBER-011674,,,,,2480246.82,119088.32,H,59544.16,,2024-02-18,Yes,1,1756626.84,No,9380816736,Rural,,,,ORG,POL-25067,UIN-786,Plan C,IND_HEALTH
POL-33023,,N,N,IF,U,G,E,2023-08-18,2023-08-21,2024-08-19,,AG1065,SM1036,MEMBER-011930,MEMBER-004462,MEMBER-005947,,,814999.0,25199.89,Q,25199.89,,,No,3,485815.79,No,9541093966,Urban,,,,IND,POL-33023,UIN-535,Plan B,PERSONAL_ACCIDENT
POL-27069,,N,N,IF,S,I,,2023-05-13,2023-05-18,2024-05-16,,AG1022,SM1023,MEMBER-014171,MEMBER-012976,MEMBER-002222,,,1371101.45,121407.2,Y,121407.2,,,No,3,793309.67,No,9835358048,Urban,,,,SPP,POL-27069,UIN-367,Plan C,GROUP_HEALTH
POL-11341,,N,N,IF,S,I,,2024-06-13,2024-06-18,2025-06-17,,AG1067,SM1039,MEMBER-000228,MEMBER-008175,MEMBER-010161,MEMBER-014649,,2456522.15,100403.81,H,100403.81,,,No,4,1256573.02,No,9597237155,Rural,,,,DIR,POL-11341,UIN-236,Plan B,TERM_LIFE
POL-27930,,N,N,IF,S,G,N,2024-05-11,2024-05-13,2025-05-12,,AG1084,SM1020,MEMBER-006456,MEMBER-005900,MEMBER-004664,MEMBER-009136,,4048494.36,333603.11,Y,333603.11,,,No,4,3093689.14,No,9766167767,Rural,,,,IND,POL-27930,UIN-264,Plan C,GROUP_HEALTH
POL-44793,POL-36084,Y,N,IF,S,I,,2024-02-17,2024-02-21,2025-02-19,,AG1060,SM1001,MEMBER-009202,,,,,2291631.32,114445.18,Y,114445.18,,,No,1,1763716.1,No,9088864444,Urban,1819560.07,2024-02-21,2024-02-20,IND,POL-36084,UIN-641,Plan B,CRITICAL_ILLNESS
