mem_id,mem_tpa_member_id,mem_type,mem_first_name,mem_middle_name,mem_last_name,mem_full_name,mem_dob,mem_dod,mem_gender,mem_marital_status,mem_nationality,mem_citizenship_status,mem_occupation,mem_educational_qualification,mem_permanent_address_line1,mem_permanent_address_line2,mem_permanent_address_line3,mem_permanent_landmark,mem_permanent_city,mem_permanent_district,mem_permanent_state,mem_permanent_country,mem_permanent_pin_code,mem_communication_address_line1,mem_communication_address_line2,mem_communication_address_line3,mem_communication_landmark,mem_communication_city,mem_communication_district,mem_communication_state,mem_communication_country,mem_communication_pin_code,mem_telephone_type_1,mem_telephone_number_1,mem_telephone_type_2,mem_telephone_number_2,mem_email_1,mem_email_2,mem_acc_no,mem_late_enrollment_flag,mem_ped_non_discl_rem_flag,mem_chronic_disease_ind
MEMBER-000029,TPA-257302,I,Indrans,Yuvaan,Bassi,Nitara Lad,1945-12-22,,M,S,Indian,R,FARMER,08,H.No. 80- Sarin Street,Malhotra Nagar,Deoghar,Opposite Mangal-Vaidya,Nandyal,Sirsa,Himachal Pradesh,India,295679,H.No. 80- Sarin Street,Dutta Road,Deoghar,Opposite Mane-Manne,Vasai-Virar,Sirsa,Himachal Pradesh,India,295679,M,05093934926,O,+918522500712,ravaljayesh@example.net,nayantara69@example.org,850992983048,No,0,0
MEMBER-000030,TPA-353931,I,Vardaniya,Yuvraj ,Babu,Vidur Anand,1970-09-02,,M,M,Indian,R,STUDENT,04,541 Golla Road,Bala,Bhusawal,Near Ratti Road,Varanasi,Aurangabad,Goa,India,044232,541 Golla Road,Bala,Bhusawal,Near Ratti Road,Varanasi,Aurangabad,Arunachal Pradesh,India,044232,H,01976587865,H,,ishitadugar@example.com,,792232906676,No,0,0
MEMBER-000031,TPA-881047,B,Purab,Hazel,Tata,Azad Raval,1991-07-23,,M,M,Indian,R,BUSINESS,05,659- Kade,Shroff Road,Miryalaguda,Near Wable Marg,Hindupur,Giridih,Karnataka,India,703666,659- Kade,Shroff Road,Miryalaguda,Near Wable Marg,Hindupur,Giridih,Karnataka,India,128140,H,09599412058,M,,dubejayesh@example.org,,143961988446,No,0,0
MEMBER-000032,TPA-404616,B,Eshani,Aarna,Lata,Eva Bajwa,1989-04-06,,M,M,Indian,R,TEACHER,06,H.No. 307- Ahluwalia Zila,Sankar Chowk,Hindupur,Behind Park,Munger,Eluru,Haryana,India,035371,H.No. 307- Ahluwalia Zila,Sankar Chowk,Rajkot,Behind Park,Munger,Eluru,Haryana,India,035371,H,+919454127627,M,,kadebiju@example.com,,,No,0,1
MEMBER-000033,TPA-857440,I,Yuvraj ,Nitara,Sandhu,Veer Jain,1992-01-25,,M,M,Indian,F,MANAGER,07,H.No. 86- Basak Marg,Toor Nagar,Barasat,Behind Park,Gandhidham,Kottayam,Punjab,India,214357,H.No. 86- Basak Marg,Toor Nagar,Barasat,Behind Park,Gandhidham,Kottayam,Punjab,India,214357,M,+910610314683,M,+919575825554,toorsaksham@example.org,,211645460469,No,0,0
MEMBER-000034,TPA-376186,I,Parinaaz,,Chokshi,Eshani Gala,1972-10-18,,F,S,Indian,R,PROF,07,H.No. 214- Tata Ganj,Vyas Zila,Unnao,Behind Mall,Phagwara,Yamunanagar,Uttarakhand,India,681692,17- Soni Path,Vyas Zila,Unnao,Behind Mall,Phagwara,Yamunanagar,Madhya Pradesh,India,681692,M,04570172638,H,4000992217,evalanka@example.org,bedimahika@example.org,463657994290,No,0,0
MEMBER-000035,TPA-460086,I,Miraya,,Som,Oorja Singh,1997-08-05,,F,S,Indian,R,RETIRED,08,079- Bumb Street,Choudhary Street,Tenali,"Opposite Banik, Talwar and Hans",Hubli–Dharwad,Rajahmundry,Madhya Pradesh,India,990945,079- Bumb Street,Gera Zila,Tenali,Near Kalita Nagar,Jamalpur,Rajahmundry,Madhya Pradesh,India,990945,H,07088525364,M,,suhanawason@example.com,kavya09@example.net,516746275667,No,0,0
MEMBER-000036,TPA-356026,I,Anahi,,Varughese,Mannat Hari,2004-09-28,,M,M,Indian,R,MANAGER,08,89/10- Karpe Road,Bahri Road,Jalandhar,Behind School,Pallavaram,Chandigarh,West Bengal,India,088684,89/10- Karpe Road,Bahri Road,Jalandhar,Behind School,Pallavaram,Siliguri,Arunachal Pradesh,India,701285,H,+911691517135,H,,ojasjain@example.com,,266025799141,No,0,0
MEMBER-000037,TPA-650852,I,Vaibhav,,Sridhar,Aayush Chaudhary,2006-10-01,,M,M,Indian,R,GOVT_EMP,08,H.No. 82- Issac Circle,Chandran Nagar,Jehanabad,Near Konda Nagar,Thanjavur,Adoni,Bihar,India,178481,H.No. 82- Issac Circle,Srinivasan Nagar,Karawal Nagar,Near Konda Nagar,Thanjavur,Adoni,Bihar,India,856262,O,9803757344,,+914624032182,advika41@example.net,kumerivana@example.com,254867795466,No,0,0
MEMBER-000038,TPA-939374,I,Zeeshan,Mohanlal,Gour,Samarth Trivedi,1991-04-30,,M,S,Indian,R,ENGINEER,05,H.No. 23- Taneja Ganj,Suri Road,Jodhpur,Opposite Dua-Bawa,Mumbai,Ambala,Rajasthan,India,114550,H.No. 23- Taneja Ganj,Suri Road,Jodhpur,Opposite Dua-Bawa,Jaunpur,Pali,Haryana,India,114550,M,+910481954282,,2134527384,bbadal@example.com,,399655063522,No,0,0
MEMBER-000039,TPA-449733,I,Rania,Misha,Gour,Kiara Rau,1965-07-27,,M,M,Indian,R,TEACHER,01,H.No. 572- Doctor Circle,Badal Zila,Muzaffarpur,Opposite Srivastava-Chakrabarti,Miryalaguda,Kozhikode,Arunachal Pradesh,India,300323,H.No. 572- Doctor Circle,Badal Zila,Muzaffarpur,Near Gill Nagar,Miryalaguda,Kozhikode,Himachal Pradesh,India,744273,O,2858663687,H,04721730251,chatterjeeprerak@example.org,,283173152704,No,0,0
MEMBER-000040,TPA-786496,I,Ayesha,Anahita,Ramanathan,Yuvaan Anne,2004-09-28,,F,D,Indian,R,STUDENT,04,762 Bhasin Chowk,Garg Nagar,Patiala,,Akola,Firozabad,Goa,India,456275,762 Bhasin Chowk,Garg Nagar,Patiala,Opposite Gupta and Sons,Akola,Firozabad,Goa,India,456275,M,+912218745742,M,,anika67@example.net,,957681132631,Yes,0,0
MEMBER-000041,TPA-789150,I,Heer,Amira,Bandi,Kanav Kannan,1989-08-10,,F,M,Indian,R,PROF,02,54/52- Kalita Ganj,Badami Path,Karimnagar,Behind Park,Parbhani,Solapur,Kerala,India,671358,54/52- Kalita Ganj,Badami Path,Karimnagar,Behind Park,Parbhani,Solapur,Uttar Pradesh,India,671358,H,+919290653135,O,,diyadass@example.com,,078476895666,No,0,0
MEMBER-000042,TPA-543197,B,Aradhya,,Agrawal,Kanav Thakur,1996-09-24,,M,M,Indian,R,BUSINESS,05,97/213 Dash Zila,Aggarwal Street,Sultan Pur Majra,Opposite Sankar Group,Hindupur,Raiganj,Andhra Pradesh,India,576072,97/213 Dash Zila,Aggarwal Street,Sultan Pur Majra,Opposite Sankar Group,Hindupur,Raiganj,Andhra Pradesh,India,576072,M,+917081038204,,04866801785,fsarraf@example.org,,732623052011,No,0,0
MEMBER-000043,TPA-483209,B,Zeeshan,Vidur,Bera,Anahita Dasgupta,1980-04-01,,F,D,Indian,R,ENGINEER,03,H.No. 197 Ratti Marg,Sengupta Chowk,Kirari Suleman Nagar,Behind School,Bathinda,Nashik,Bihar,India,946965,H.No. 197 Ratti Marg,Hora Nagar,Kirari Suleman Nagar,Behind School,Bathinda,Udupi,Madhya Pradesh,India,946965,H,4922645443,H,00128773471,yakshitsharaf@example.com,,322121810843,No,0,0
MEMBER-000044,TPA-357951,I,Dharmajan,Nehmat,Doctor,Fateh Dua,1980-09-02,,F,M,Indian,R,PROF,05,29/47 Anne Ganj,Lall Zila,Gandhinagar,"Opposite Din, Sachdev and Das",Yamunanagar,Nagaon,Meghalaya,India,231753,29/47 Anne Ganj,Lall Zila,Gandhinagar,"Opposite Din, Sachdev and Das",Yamunanagar,Nagaon,Punjab,India,491636,M,4975948414,M,,vanyadass@example.net,,844481448244,No,0,0
MEMBER-000045,TPA-458567,I,Ivana,Sahil,Salvi,Shanaya Desai,1993-06-25,2016-10-26,M,M,Indian,R,FARMER,07,62/81- Wadhwa Road,Mannan,Gulbarga,Behind Mall,Amaravati,Dharmavaram,Telangana,India,922635,H.No. 699 Issac Chowk,Mannan,Gulbarga,,Amaravati,Saharsa,Telangana,India,922635,M,04160491702,H,04393146832,hayremyra@example.com,,750738462654,No,0,0
MEMBER-000046,TPA-289051,I,Amani,Advika,Grewal,Kanav Sheth,1976-09-27,,M,M,Indian,R,TEACHER,08,18/620 Chana,Shan Ganj,Shahjahanpur,Behind Park,Bihar Sharif,Siliguri,Chhattisgarh,India,428717,H.No. 018 Dora Chowk,Shan Ganj,Shahjahanpur,Behind Park,Bihar Sharif,Siliguri,Chhattisgarh,India,474113,M,6150390896,M,,miraansubramanian@example.org,majumdarmyra@example.com,693314681927,No,0,0
MEMBER-000047,TPA-310013,I,Mannat,,Hora,Uthkarsh Balay,1997-10-06,,F,S,Indian,R,BUSINESS,07,64- Mandal Zila,Maharaj Zila,Nizamabad,"Opposite Reddy, Tara and Barad",Ahmednagar,Gorakhpur,Rajasthan,India,211657,64- Mandal Zila,Balan Marg,Nizamabad,,Ahmednagar,Gorakhpur,Rajasthan,India,211657,H,4164046332,O,+912518167489,onkargoyal@example.net,rajuaradhya@example.net,730889755449,No,0,0
MEMBER-000048,TPA-809711,I,Nitya,Zeeshan,Kuruvilla,Drishya Borde,2002-07-18,,M,M,Indian,O,GOVT_EMP,02,68/23 Reddy Nagar,Kumer Marg,Panipat,Behind School,Kakinada,Ongole,Andhra Pradesh,India,008897,68/23 Reddy Nagar,Kumer Marg,Panipat,Behind School,Kakinada,Alappuzha,Tripura,India,008897,M,08231604451,H,+914302861503,adirawalia@example.org,,976753519281,No,0,0
MEMBER-000049,TPA-236455,I,Amani,,Kohli,Tara Sarraf,1997-10-21,,F,M,Indian,O,DOCTOR,06,50- Kata Marg,Gola Ganj,Thanjavur,,Bharatpur,Bihar Sharif,Karnataka,India,549650,50- Kata Marg,Gola Ganj,Thanjavur,Opposite Sami Ltd,Patiala,Bihar Sharif,Karnataka,India,549650,O,6968015005,M,06723621741,harijayesh@example.net,,873348980354,No,0,0
MEMBER-000050,TPA-531612,I,Darshit,,Mallick,Amira Vora,1947-02-02,,F,D,Indian,R,TEACHER,05,51/625 Chhabra Circle,Bhattacharyya Circle,Ramagundam,,Bhubaneswar,Srikakulam,Tamil Nadu,India,671904,51/625 Chhabra Circle,Bhattacharyya Circle,Ramagundam,,Bhubaneswar,Srikakulam,Tamil Nadu,India,671904,M,01414965976,M,09117858651,khuranaalisha@example.net,,871344202268,No,0,0
MEMBER-000051,TPA-550717,I,Mamooty,Dishani,Sachdev,Suhana Gole,1999-10-17,,M,M,Indian,R,RETIRED,06,26/61- Chadha Path,Dani Marg,Bhimavaram,Behind Mall,Hapur,Anantapuram,Nagaland,India,226387,H.No. 70 Barman,Dhingra Circle,Bhimavaram,Behind Mall,Hapur,Anantapuram,Nagaland,India,226387,M,08946867765,,,kharepihu@example.org,gatik89@example.org,895370299269,No,0,0
MEMBER-000052,TPA-133440,I,Samiha,Anika,Majumdar,Ishaan Shukla,2003-08-26,,M,S,Indian,R,STUDENT,06,H.No. 49- Sehgal Chowk,Verma,Guntur,Opposite Arora-Samra,Muzaffarnagar,Patna,Rajasthan,India,947722,H.No. 354- Batta Zila,Verma,Guntur,Opposite Arora-Samra,Muzaffarnagar,Patna,Rajasthan,India,947722,M,+912901119977,M,,janineelofar@example.org,,416713821369,No,0,0
MEMBER-000053,TPA-761963,I,,Tejas,Edwin,Mohanlal Agrawal,1953-09-04,,M,D,Indian,R,BUSINESS,03,11/355- Varughese Road,Ahluwalia Chowk,Imphal,Behind School,Hajipur,Giridih,Maharashtra,India,220427,11/355- Varughese Road,Ahluwalia Chowk,Imphal,Behind School,Hajipur,Kollam,Maharashtra,India,220427,M,5506028064,M,+911930518431,rashakulkarni@example.org,,139361598516,No,0,1
MEMBER-000054,TPA-816741,B,,Anya,Bakshi,Amani Lad,2006-10-14,,F,M,Indian,R,MANAGER,08,11/054 Biswas Marg,Rajan Zila,Dhule,,Motihari,Sri Ganganagar,Madhya Pradesh,India,335655,11/054 Biswas Marg,Kala Zila,Dhule,Near Seshadri,Motihari,Kozhikode,Madhya Pradesh,India,335655,M,+911482332755,,0773162410,hborde@example.com,,562952783319,No,0,1
MEMBER-000055,TPA-803706,B,,,Mallick,Darshit Tara,2007-05-10,,F,M,Indian,R,FARMER,07,H.No. 530- Lall Road,Sengupta Street,Tenali,,Vellore,Dindigul,Mizoram,India,788717,H.No. 530- Lall Road,Sengupta Street,Tenali,,Vellore,Ratlam,Mizoram,India,788717,M,+916344605827,M,5372739921,mandalabram@example.net,yakshitsubramanian@example.net,380737803021,No,0,1
MEMBER-000056,TPA-899740,I,Pari,Mamooty,Kapadia,Faiyaz Roy,1974-11-25,,F,M,Indian,R,TEACHER,01,H.No. 075 Srinivasan,Sabharwal Path,Cuttack,"Opposite Kata, Arya and Bhasin",Tirunelveli,Pudukkottai,Goa,India,900373,H.No. 075 Srinivasan,Sabharwal Path,Cuttack,"Opposite Kata, Arya and Bhasin",Tirunelveli,Pudukkottai,Goa,India,900373,H,+911558954096,M,04170557082,hmane@example.com,lakshaybhasin@example.org,016466602916,No,0,0
MEMBER-000057,TPA-114133,I,Yuvaan,Sumer,Tailor,Khushi Kunda,1989-01-26,,F,S,Indian,R,STUDENT,06,H.No. 90- Gour Street,Bhagat Road,Ichalkaranji,,Jamshedpur,Mysore,Meghalaya,India,503761,H.No. 90- Gour Street,Chanda,Ichalkaranji,,Jamshedpur,Mysore,Meghalaya,India,845604,H,1357705320,M,01705344313,kismat94@example.org,bailshanaya@example.net,125361672483,No,0,1
MEMBER-000058,TPA-138607,I,Nakul,,,Sumer Chaudhary,1951-07-04,,F,S,Indian,R,BUSINESS,02,56/589 Dora Chowk,Yohannan Road,Chittoor,Near Bawa Road,Nagercoil,Mehsana,Andhra Pradesh,India,522250,56/589 Dora Chowk,Bhatt Nagar,Chittoor,Near Bawa Road,Nagercoil,Mehsana,Andhra Pradesh,India,522250,M,6411485906,,3367817207,shraygolla@example.com,,630819149385,No,0,0
