ag_update_date,ag_id,ag_name,ag_gender,ag_date_of_birth,ag_gov_id,ag_license_number,ag_license_issue_date,ag_license_expiry_date,ag_ctgry,ag_expertise_cd,ag_experience,ag_lang,ag_contact_number,ag_email,ag_address_line_1,ag_address_line_2,ag_address_line_3,ag_city,ag_district,ag_state,ag_country,ag_pin_code,ag_since,ag_service_area_type,ag_product,ag_sales_manager_id,ag_account_no
2025-07-29,AG1054,Indrajit Gour,F,1973-03-10,VOTER-E734647,LIC/Ka/40322,2024-02-08,2027-11-23,MI,HLT,2,Hindi/English/Kannada,99074544436,indrajit13@example.com,62- Bhardwaj Circle,Gopal Zila,Street,Mysore,Mysore,Karnataka,India,579386,2023-07-21,Urban,Motor,SM1015,414635144528
2025-07-29,AG1055,Zain Sahni,M,1972-01-04,UID-385777847718,LIC/Ka/70947,2025-02-27,2030-01-13,MI,LFE,5,Hindi/English/Kannada,98784254581,zain13@example.com,H.No. 82- Rao Marg,Korpal Path,Street,Mysore,Mysore,Karnataka,India,582975,2020-05-28,Urban,Health,SM1036,886424919196
2025-07-29,AG1056,Nehmat Chopra,M,1978-06-25,ADHAR-3494-2331-8917,LIC/Ka/99675,2025-03-05,2030-03-12,MI,HLT,7,Hindi/English/Kannada,98012620682,nehmat70@example.com,812- Sidhu Road,Chakrabarti Nagar,Street,Bangalore,Bangalore,Karnataka,India,582904,2017-08-06,Urban,Motor,SM1038,853570634705
2025-07-29,AG1057,Piya Raval,M,1977-08-03,UID-858895239709,LIC/De/78090,2024-11-30,2026-01-18,PO,HLT,7,Hindi/English,99542983883,piya72@example.com,943- Sharma Street,Shere Zila,Street,New Delhi,New Delhi,Delhi,India,110018,2017-10-02,Urban,Health,SM1035,250398155483
2025-07-29,AG1058,Romil Deep,F,1997-10-31,VOTER-E736682,LIC/De/97195,2025-05-09,2030-05-26,IM,GEN,0,Hindi/English,98226629543,romil37@example.com,H.No. 933 Ramakrishnan Path,Bhatti Street,Street,New Delhi,New Delhi,Delhi,India,110005,2024-09-16,Rural,Life,SM1031,236750174037
2025-07-29,AG1059,Anay Shroff,M,1992-07-08,UID-555340811325,LIC/De/65556,2021-09-28,2028-04-12,IM,LFE,4,Hindi/English,98787224696,anay60@example.com,H.No. 99- Kar Path,Thaker Road,Street,New Delhi,New Delhi,Delhi,India,110000,2020-09-10,Urban,Motor,SM1018,299098108275
2025-07-29,AG1060,Rhea Gera,F,1968-10-30,ADHAR-3082-3801-8125,LIC/Ta/15542,2022-11-30,2028-06-28,MI,HLT,5,Hindi/English/Tamil,99306558452,rhea93@example.com,23/42- Loyal Chowk,Basak Zila,Street,Coimbatore,Coimbatore,Tamil Nadu,India,677485,2019-11-09,Rural,Motor,SM1009,951858975289
2025-07-29,AG1061,Kimaya Dora,M,1981-07-01,VOTER-D326350,LIC/Ma/87885,2017-11-15,2028-08-25,BO,HLT,11,Hindi/English/Marathi,98656511212,kimaya16@example.com,76/02 Chowdhury,Arya Circle,Street,Nagpur,Nagpur,Maharashtra,India,496510,2014-01-26,Urban,Health,SM1034,296228010307
2025-07-29,AG1062,Heer Gara,F,2001-05-11,ADHAR-7040-1458-3708,LIC/We/76538,2020-06-27,2029-03-19,BO,LFE,8,Hindi/English/Bengali,98485567022,heer45@example.com,47 Bakshi Path,Agrawal Path,Street,Kolkata,Kolkata,West Bengal,India,787297,2017-01-24,Urban,Motor,SM1000,475855450336
2025-07-29,AG1063,Indrans Cheema,M,1971-11-12,UID-570663639612,LIC/De/11652,2025-01-03,2028-04-02,BO,HLT,1,Hindi/English,98436850499,indrans56@example.com,H.No. 20 Choudhary Path,Soni Road,Street,New Delhi,New Delhi,Delhi,India,110080,2024-07-11,Urban,Combo,SM1025,285336872750
2025-07-29,AG1064,Rati Bera,M,1974-08-11,UID-320512319543,LIC/Ta/62207,2023-10-14,2027-10-12,IM,HLT,4,Hindi/English/Tamil,98063795645,rati98@example.com,89 Sha Road,Luthra Zila,Street,Madurai,Madurai,Tamil Nadu,India,661173,2021-01-19,Rural,Life,SM1004,196520718937
2025-07-29,AG1065,Kismat Savant,F,2000-01-28,ADHAR-2090-5516-6645,LIC/We/59440,2019-07-09,2027-01-10,IM,HLT,7,Hindi/English/Bengali,98094504009,kismat56@example.com,58 Vohra Ganj,Comar Chowk,Street,Howrah,Howrah,West Bengal,India,771264,2018-01-29,Rural,Life,SM1038,910699908629
2025-07-29,AG1066,Ryan Venkatesh,F,2001-08-19,VOTER-E771033,LIC/Ma/72740,2014-06-22,2030-02-10,IM,GEN,11,Hindi/English/Marathi,97843970679,ryan43@example.com,44/57 Sarna Road,Varma Street,Street,Nagpur,Nagpur,Maharashtra,India,494345,2013-10-29,Urban,Combo,SM1049,411109578717
2025-07-29,AG1067,Romil Kale,F,1997-07-27,ADHAR-9049-4351-4104,LIC/We/44022,2023-02-15,2029-02-07,PO,GEN,14,Hindi/English/Bengali,99908385454,romil75@example.com,45- Brahmbhatt Path,Sandhu Circle,Street,Howrah,Howrah,West Bengal,India,763385,2010-12-14,Urban,Life,SM1034,908974857713
2025-07-29,AG1068,Seher Ben,M,1991-07-15,ADHAR-4737-4107-3720,LIC/Ta/15640,2022-03-11,2029-05-01,IM,HLT,4,Hindi/English/Tamil,99866439707,seher67@example.com,H.No. 26- Lad Zila,Sarna Zila,Street,Chennai,Chennai,Tamil Nadu,India,698008,2021-05-29,Urban,Motor,SM1021,851860787787
2025-07-29,AG1069,Stuvan Joshi,F,1994-06-20,ADHAR-3005-8554-5584,LIC/We/76716,2025-07-28,2029-11-11,CO,GEN,4,Hindi/English/Bengali,99970598314,stuvan56@example.com,H.No. 95- Tank Circle,Kala Path,Street,Kolkata,Kolkata,West Bengal,India,740575,2020-10-18,Rural,Life,SM1009,525306728474
2025-07-29,AG1070,Divyansh Balan,M,1966-05-21,ADHAR-9968-7679-6358,LIC/Ma/96604,2016-08-24,2029-05-05,PO,HLT,19,Hindi/English/Marathi,97203012301,divyansh57@example.com,57 Bobal Chowk,Dhawan Marg,Street,Nagpur,Nagpur,Maharashtra,India,482607,2005-11-28,Urban,Motor,SM1047,452816825970
2025-07-29,AG1071,Arhaan Bhavsar,M,1968-03-21,UID-425941288792,LIC/Ta/78977,2024-12-27,2027-12-28,MI,LFE,2,Hindi/English/Tamil,98017183792,arhaan93@example.com,H.No. 60- Lal,Mannan Street,Street,Coimbatore,Coimbatore,Tamil Nadu,India,690643,2022-12-23,Urban,Motor,SM1008,257001227534
2025-07-29,AG1072,Shlok Desai,F,1995-05-11,VOTER-E166373,LIC/Ta/44636,2019-03-28,2026-04-28,IM,LFE,10,Hindi/English/Tamil,99263382962,shlok84@example.com,H.No. 23 Badami Ganj,Rau Chowk,Street,Madurai,Madurai,Tamil Nadu,India,624922,2015-06-21,Rural,Health,SM1008,524966750961
2025-07-29,AG1073,Parinaaz Basak,F,1967-06-22,UID-244737692034,LIC/Ma/72483,2016-09-03,2028-11-16,IM,HLT,16,Hindi/English/Marathi,99701350005,parinaaz20@example.com,491 Subramanian Street,Karpe Chowk,Street,Nagpur,Nagpur,Maharashtra,India,497941,2008-08-09,Urban,Motor,SM1029,957921388108
2025-07-29,AG1074,Hazel Manda,F,2002-04-24,ADHAR-8659-8666-1894,LIC/We/23840,2015-03-24,2026-12-01,IM,HLT,14,Hindi/English/Bengali,98091635686,hazel37@example.com,86 Mani Path,Dubey Chowk,Street,Howrah,Howrah,West Bengal,India,728567,2011-04-01,Rural,Health,SM1023,362094781512
2025-07-29,AG1075,Advik Choudhary,M,1982-10-10,VOTER-A850485,LIC/Ma/62613,2019-01-26,2026-03-15,MI,LFE,9,Hindi/English/Marathi,99722749745,advik35@example.com,H.No. 18- Sastry Marg,Devi Street,Street,Mumbai,Mumbai,Maharashtra,India,446178,2015-10-05,Rural,Combo,SM1004,281350590158
2025-07-29,AG1076,Aradhya Choudhury,M,1997-10-15,VOTER-A481008,LIC/We/42822,2025-06-09,2027-01-22,CO,LFE,5,Hindi/English/Bengali,97674800323,aradhya71@example.com,H.No. 12 Warrior Ganj,Mahal Chowk,Street,Kolkata,Kolkata,West Bengal,India,705281,2020-04-07,Urban,Motor,SM1028,316736210623
2025-07-29,AG1077,Jayesh Yadav,M,1965-10-19,UID-595173693689,LIC/We/33241,2022-05-19,2026-04-28,MI,GEN,9,Hindi/English/Bengali,98804825286,jayesh45@example.com,599- Lala Path,Borde Street,Street,Kolkata,Kolkata,West Bengal,India,736696,2015-10-24,Rural,Motor,SM1039,132694314352
2025-07-29,AG1078,Samar Sodhi,F,1989-12-30,VOTER-C114392,LIC/We/40176,2021-11-23,2028-08-09,BO,HLT,6,Hindi/English/Bengali,97916108403,samar25@example.com,67/56- Khurana Circle,Chawla Road,Street,Howrah,Howrah,West Bengal,India,701903,2019-05-22,Rural,Motor,SM1015,677480601838
2025-07-29,AG1079,Anya Halder,M,1972-04-08,ADHAR-3556-7424-1268,LIC/Ma/73492,2023-11-18,2029-05-26,CO,GEN,1,Hindi/English/Marathi,98701096572,anya63@example.com,08/210 Bahri Chowk,Behl Road,Street,Nagpur,Nagpur,Maharashtra,India,453331,2023-11-17,Urban,Life,SM1004,663744656038
