Practitioner_ID,prac_name,prac_license_number,prac_NPI_Number,prac_license_expiry_date,prac_date_of_birth,prac_gender,prac_bank_account_number,prac_contact_number,prac_email_address,prac_practice_address_line1,prac_practice_address_line2,prac_practice_city,prac_practice_state,prac_practice_pincode,prac_primary_specialty,prac_secondary_specialty,prac_taxonomy_code,prac_medical_school,prac_graduation_year,prac_primary_hospital_id,prac_is_solo_practice,prac_onboarding_date,prac_practitioner_status,prac_sanction_history_details,CLAIM_CNT_LT_1M,CLAIM_AMT_LT_1M,CASHLESS_CLAIM_CNT_LT_1M,REIMB_CLAIM_CNT_LT_1M,REJECT_CLAIM_CNT_LT_1M,REJECT_CLAIM_AMT_LT_1M,APPROVE_CLAIM_CNT_LT_1M,APPROVE_CLAIM_AMT_LT_1M,UNIQUE_PATIENTS_CNT_LT_1M,UNIQUE_HOSPITALS_CNT_LT_1M,UNIQUE_AGENTS_CNT_LT_1M,AVG_CONSULTING_FEE_LT_1M,AVG_MEDICINE_FEE_LT_1M,REJECT_REIMB_CLAIM_CNT_LT_1M,REJECT_CSHL_CLAIM_CNT_LT_1M,APPROVE_CASHLESS_CLAIM_CNT_LT_1M,APPROVE_REIMB_CLAIM_CNT_LT_1M,CLAIM_CNT_LT_3M,CLAIM_AMT_LT_3M,CASHLESS_CLAIM_CNT_LT_3M,REIMB_CLAIM_CNT_LT_3M,REJECT_CLAIM_CNT_LT_3M,REJECT_CLAIM_AMT_LT_3M,APPROVE_CLAIM_CNT_LT_3M,APPROVE_CLAIM_AMT_LT_3M,UNIQUE_PATIENTS_CNT_LT_3M,UNIQUE_HOSPITALS_CNT_LT_3M,UNIQUE_AGENTS_CNT_LT_3M,AVG_CONSULTING_FEE_LT_3M,AVG_MEDICINE_FEE_LT_3M,REJECT_REIMB_CLAIM_CNT_LT_3M,REJECT_CSHL_CLAIM_CNT_LT_3M,APPROVE_CASHLESS_CLAIM_CNT_LT_3M,APPROVE_REIMB_CLAIM_CNT_LT_3M,CLAIM_CNT_LT_6M,CLAIM_AMT_LT_6M,CASHLESS_CLAIM_CNT_LT_6M,REIMB_CLAIM_CNT_LT_6M,REJECT_CLAIM_CNT_LT_6M,REJECT_CLAIM_AMT_LT_6M,APPROVE_CLAIM_CNT_LT_6M,APPROVE_CLAIM_AMT_LT_6M,UNIQUE_PATIENTS_CNT_LT_6M,UNIQUE_HOSPITALS_CNT_LT_6M,UNIQUE_AGENTS_CNT_LT_6M,AVG_CONSULTING_FEE_LT_6M,AVG_MEDICINE_FEE_LT_6M,REJECT_REIMB_CLAIM_CNT_LT_6M,REJECT_CSHL_CLAIM_CNT_LT_6M,APPROVE_CASHLESS_CLAIM_CNT_LT_6M,APPROVE_REIMB_CLAIM_CNT_LT_6M,CLAIM_CNT_YR_1,CLAIM_AMT_YR_1,CASHLESS_CLAIM_CNT_YR_1,REIMB_CLAIM_CNT_YR_1,REJECT_CLAIM_CNT_YR_1,REJECT_CLAIM_AMT_YR_1,APPROVE_CLAIM_CNT_YR_1,APPROVE_CLAIM_AMT_YR_1,UNIQUE_PATIENTS_CNT_YR_1,UNIQUE_HOSPITALS_CNT_YR_1,UNIQUE_AGENTS_CNT_YR_1,AVG_CONSULTING_FEE_YR_1,AVG_MEDICINE_FEE_YR_1,REJECT_REIMB_CLAIM_CNT_YR_1,REJECT_CSHL_CLAIM_CNT_YR_1,APPROVE_CASHLESS_CLAIM_CNT_YR_1,APPROVE_REIMB_CLAIM_CNT_YR_1,CLAIM_CNT_YR_2,CLAIM_AMT_YR_2,CASHLESS_CLAIM_CNT_YR_2,REIMB_CLAIM_CNT_YR_2,REJECT_CLAIM_CNT_YR_2,REJECT_CLAIM_AMT_YR_2,APPROVE_CLAIM_CNT_YR_2,APPROVE_CLAIM_AMT_YR_2,UNIQUE_PATIENTS_CNT_YR_2,UNIQUE_HOSPITALS_CNT_YR_2,UNIQUE_AGENTS_CNT_YR_2,AVG_CONSULTING_FEE_YR_2,AVG_MEDICINE_FEE_YR_2,REJECT_REIMB_CLAIM_CNT_YR_2,REJECT_CSHL_CLAIM_CNT_YR_2,APPROVE_CASHLESS_CLAIM_CNT_YR_2,APPROVE_REIMB_CLAIM_CNT_YR_2,CLAIM_CNT_YR_3,CLAIM_AMT_YR_3,CASHLESS_CLAIM_CNT_YR_3,REIMB_CLAIM_CNT_YR_3,REJECT_CLAIM_CNT_YR_3,REJECT_CLAIM_AMT_YR_3,APPROVE_CLAIM_CNT_YR_3,APPROVE_CLAIM_AMT_YR_3,UNIQUE_PATIENTS_CNT_YR_3,UNIQUE_HOSPITALS_CNT_YR_3,UNIQUE_AGENTS_CNT_YR_3,AVG_CONSULTING_FEE_YR_3,AVG_MEDICINE_FEE_YR_3,REJECT_REIMB_CLAIM_CNT_YR_3,REJECT_CSHL_CLAIM_CNT_YR_3,APPROVE_CASHLESS_CLAIM_CNT_YR_3,APPROVE_REIMB_CLAIM_CNT_YR_3,AVG_CLAIM_AMT_LT_1M,AVG_APPR_CLAIM_AMT_LT_1M,AVG_CLAIM_AMT_LT_3M,AVG_APPR_CLAIM_AMT_LT_3M,AVG_CLAIM_AMT_LT_6M,AVG_APPR_CLAIM_AMT_LT_6M,AVG_CLAIM_AMT_YR_1,AVG_APPR_CLAIM_AMT_YR_1,AVG_CLAIM_AMT_YR_2,AVG_APPR_CLAIM_AMT_YR_2,AVG_CLAIM_AMT_YR_3,AVG_APPR_CLAIM_AMT_YR_3,MEMBER_BANKMATCH_FLG
PRAC-1045,Dharmajan Mander,MCI/MAH/62286,3325175965,2029-08-22,1965-09-13,Male,683440198973,98947564791,dharmajan.doc10@clinic.com,58/70- Barad Path,Sule,Mumbai,Maharashtra,454812,Dermatology,Cardiology,207N00000X,Kasturba Medical College,1994,HOSP-0004,Y,2005-07-21,Sanctioned,Iusto recusandae cumque nesciunt recusandae a vero eligendi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4944198.75,3,2,0,0.0,5,4031308.02,5,5,5,127748.8,284449.03599999996,0.0,0.0,3,2,10,7600617.06,4,6,0,0.0,9,5355239.99,10,9,10,118698.21599999999,204279.077,0.0,0.0,3,6,78,53138971.19,62,16,6,2632460.03,62,40828402.24,78,40,64,130407.51628205128,151343.65307692307,0.0,6.0,47,15,32,25367578.17,26,6,2,522003.54000000004,27,20425168.56,32,26,27,186815.26375,126260.72687500001,0.0,2.0,21,6,0.0,0.0,0.0,0.0,988839.75,806261.604,760061.706,595026.6655555556,681268.8614102564,658522.6167741936,792736.8178125,756487.7244444444,0
PRAC-1046,Advika Bera,MCI/TAM/53497,3440172665,2029-09-10,1964-12-25,Other,6810152966,97689089627,advika.doc59@clinic.com,34- Raman Nagar,0,Coimbatore,Tamil Nadu,659654,Cardiology,General Surgery,207R00000X,All India Institute of Medical Sciences,1990,HOSP-0003,N,2007-08-16,Active,0,1.0,112757.13,0.0,1.0,0.0,0.0,1.0,373566.84,1.0,1.0,1.0,5814.37,30722.84,0.0,0.0,0.0,1.0,2.0,943515.82,1.0,1.0,0.0,0.0,2.0,988070.3200000001,2.0,2.0,2.0,39422.38,129407.685,0.0,0.0,1.0,1.0,6,3237847.38,5,1,0,0.0,6,2805680.84,6,6,6,73719.83166666667,123429.79333333333,0.0,0.0,5,1,12,5439225.1,9,3,0,0.0,12,4538877.5,12,10,12,93517.8575,79739.29583333334,0.0,0.0,9,3,59,40593988.01,46,13,5,4101542.6900000004,50,30233636.59,59,37,54,115088.9372881356,142168.8240677966,0.0,5.0,37,13,30,20652001.24,27,3,0,0.0,26,15565210.58,30,22,29,124848.69033333333,133296.24366666668,0.0,0.0,23,3,112757.13,373566.84,471757.91,494035.16000000003,539641.23,467613.4733333333,453268.7583333333,378239.7916666667,688033.6950847458,604672.7318,688400.0413333332,598661.9453846153,0
PRAC-1047,Ayesha Date,MCI/TAM/16575,8287511200,2027-05-29,1962-08-06,Male,629832214175,99316333298,ayesha.doc69@clinic.com,H.No. 68- Srinivas Chowk,0,Madurai,Tamil Nadu,643084,General Practice,Cardiology,208D00000X,Kasturba Medical College,1989,HOSP-0007,Y,2003-12-02,Active,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1771118.43,2.0,1.0,0.0,0.0,2.0,533019.69,3.0,3.0,3.0,202089.69000000003,59040.030000000006,0.0,0.0,1.0,1.0,12,12313792.74,10,2,2,2370447.3899999997,9,7507481.74,12,11,11,164189.93583333332,179858.24750000003,0.0,2.0,7,2,19,18740640.8,14,5,2,2370447.3899999997,16,12965473.07,19,14,17,162442.75684210527,168321.0852631579,0.0,2.0,11,5,55,39897549.81,40,15,2,2322925.03,50,30747856.93,55,33,47,178725.66418181817,166022.60872727275,1.0,1.0,38,12,32,20441253.71,24,8,2,2528540.28,30,15016739.6,31,25,32,109595.8928125,127322.903125,0.0,2.0,22,8,0.0,0.0,590372.8099999999,266509.845,1026149.395,834164.6377777779,986349.5157894738,810342.066875,725409.9965454546,614957.1386,638789.1784375,500557.98666666663,0
PRAC-1048,Saksham Srinivasan,MCI/WES/36987,9889508227,2025-10-12,1994-06-10,Female,44993926051,99321223056,saksham.doc12@clinic.com,60- Kapoor,Varghese Street,Howrah,West Bengal,706165,General Surgery,Dermatology,208600000X,Maulana Azad Medical College,2023,HOSP-0022,Y,2025-01-01,Active,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,512385.82,1.0,0.0,0.0,0.0,1.0,377075.1,1.0,1.0,1.0,145353.14,12736.93,0.0,0.0,1.0,0.0,6,3217770.14,2,4,0,0.0,6,2769185.1799999997,6,6,5,137405.53833333333,122089.87666666666,0.0,0.0,2,4,10,10099814.74,5,5,0,0.0,10,9347742.83,10,10,9,225293.27200000003,152978.584,0.0,0.0,5,5,61,52530553.269999996,44,17,5,4416739.66,51,39787568.82,61,33,58,206009.98770491802,192068.81754098358,0.0,5.0,36,15,21,13683406.89,18,3,1,411158.17,17,10373875.93,21,16,19,157327.06523809524,90801.10523809523,1.0,0.0,16,1,0.0,0.0,512385.82,377075.1,536295.0233333333,461530.8633333333,1009981.474,934774.283,861156.6109836065,780148.4082352942,651590.8042857143,610227.9958823529,0
PRAC-1049,Advika Deshpande,MCI/DEL/29655,6487289425,2029-06-01,1965-04-21,Other,539534509880,97923304899,advika.doc69@clinic.com,39/88- Tiwari Road,Sur Street,New Delhi,Delhi,110017,Pediatrics,Orthopedic Surgery,208000000X,JIPMER,1994,HOSP-0023,Y,2023-02-09,Active,0,1.0,340574.99,0.0,1.0,0.0,0.0,1.0,26096.11,1.0,1.0,1.0,83113.99,29217.6,0.0,0.0,0.0,1.0,1.0,340574.99,0.0,1.0,0.0,0.0,1.0,26096.11,1.0,1.0,1.0,83113.99,29217.6,0.0,0.0,0.0,1.0,12,5215533.12,10,2,0,0.0,11,3441935.16,12,12,12,116993.54833333334,60175.23583333334,0.0,0.0,9,2,19,8649842.21,14,5,1,230316.84,17,6153533.66,19,17,19,109232.36736842105,72107.22578947368,0.0,1.0,12,5,56,36426204.02,44,12,4,2625424.16,46,25283455.81,56,36,47,125486.39696428571,103496.77803571429,0.0,4.0,36,10,36,20194052.82,26,10,6,4004834.16,28,13508555.959999999,36,22,31,112604.65944444443,128166.82583333335,1.0,5.0,19,9,340574.99,26096.11,340574.99,26096.11,434627.76,312903.19636363635,455254.8531578948,361972.56823529414,650467.9289285715,549640.3436956521,560945.9116666666,482448.4271428571,0
PRAC-1050,Yashvi Devan,MCI/MAH/55999,3532616105,2027-12-21,1978-10-29,Male,314020688783,98574494353,yashvi.doc8@clinic.com,51 Datta Path,0,Mumbai,Maharashtra,410655,Oncology,0,207R00000X,All India Institute of Medical Sciences,2007,HOSP-0046,Y,2012-05-22,Inactive,0,1.0,175702.57,1.0,0.0,0.0,0.0,1.0,701765.72,1.0,1.0,1.0,9956.77,43574.84,0.0,0.0,1.0,0.0,1.0,175702.57,1.0,0.0,0.0,0.0,1.0,701765.72,1.0,1.0,1.0,9956.77,43574.84,0.0,0.0,1.0,0.0,7,2865357.88,6,1,1,39414.63,5,2806513.53,7,7,7,36006.87,93212.47714285714,1.0,0.0,5,0,10,4578285.0200000005,8,2,1,39414.63,8,4058401.45,10,10,10,58565.117000000006,98968.186,1.0,0.0,7,1,67,44585288.97,54,13,8,5448814.08,53,30907535.76,67,39,58,144424.93208955225,132285.0543283582,2.0,6.0,44,9,27,13971781.89,23,4,1,191195.23,26,11886056.82,27,23,26,123071.81296296297,96446.15,0.0,1.0,22,4,175702.57,701765.72,175702.57,701765.72,409336.83999999997,561302.706,457828.50200000004,507300.18125,665452.0741791044,583161.0520754717,517473.4033333334,457156.03153846157,0
PRAC-1051,Shamik Mangat,MCI/MAH/98062,2295541368,2028-02-22,1968-04-20,Female,246603939242,99617090799,shamik.doc96@clinic.com,H.No. 553- Sundaram Road,Yadav Circle,Pune,Maharashtra,453235,Dermatology,Neurology,207N00000X,Christian Medical College,1996,HOSP-0026,N,2023-04-24,Active,0,1.0,184471.47,0.0,1.0,0.0,0.0,1.0,864464.84,1.0,1.0,1.0,35480.3,718.17,0.0,0.0,0.0,1.0,3.0,2543960.33,2.0,1.0,0.0,0.0,3.0,2944689.49,3.0,3.0,3.0,261083.53666666665,243509.99,0.0,0.0,2.0,1.0,11,4680830.6,9,2,0,0.0,9,4383043.54,11,10,10,126866.8309090909,100653.07727272726,0.0,0.0,7,2,21,8593545.790000001,19,2,1,66376.81,17,6704036.58,21,16,19,115409.80333333334,80002.02476190476,0.0,1.0,15,2,42,30120530.34,31,11,3,2506351.29,36,22121463.1,42,28,39,188724.7142857143,137856.51428571428,2.0,1.0,30,6,36,24877198.68,28,8,3,605084.68,31,20328187.11,36,25,31,107403.21166666667,121986.33833333332,1.0,2.0,24,7,184471.47,864464.84,847986.7766666667,981563.1633333334,425530.0545454545,487004.8377777778,409216.46619047626,394355.0929411765,717155.4842857143,614485.0861111111,691033.2966666666,655747.9712903226,0
PRAC-1052,Aniruddh Mani,MCI/KAR/33899,4936663836,2027-03-04,1991-05-03,Female,4364209773,99112603609,aniruddh.doc41@clinic.com,H.No. 26- Ramakrishnan Nagar,Kapadia Ganj,Mysore,Karnataka,573617,Cardiology,General Surgery,207R00000X,Kasturba Medical College,2017,HOSP-0003,Y,2019-07-28,Under Review,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1250984.53,1.0,1.0,0.0,0.0,2.0,1016363.8,2.0,2.0,2.0,15086.225,245509.885,0.0,0.0,1.0,1.0,9,5997661.51,7,2,1,781155.89,8,4608870.649999999,9,8,9,84060.53888888888,184283.0988888889,0.0,1.0,6,2,10,6062702.48,7,3,1,781155.89,9,4658702.949999999,10,9,10,77204.30799999999,166265.439,0.0,1.0,6,3,73,45262618.49,55,18,3,1237713.8199999998,66,35460680.97,73,35,59,123201.66917808219,135707.98452054794,0.0,3.0,48,18,35,23218553.04,30,5,3,1159355.54,30,15635287.95,35,30,32,136335.61285714287,143059.45685714285,0.0,3.0,25,5,0.0,0.0,625492.265,508181.9,666406.8344444444,576108.8312499999,606270.248,517633.66111111105,620035.8697260275,537283.0449999999,663387.2297142857,521176.26499999996,0
PRAC-1053,Miraya Barman,MCI/DEL/59138,4689695956,2025-09-15,1990-12-25,Other,689483515735,98931788959,miraya.doc8@clinic.com,05/765- Johal Nagar,0,New Delhi,Delhi,110053,Neurology,Oncology,2084N0400X,Maulana Azad Medical College,2015,HOSP-0022,N,2023-09-08,Active,0,1.0,260778.16,0.0,1.0,0.0,0.0,1.0,34456.75,1.0,1.0,1.0,44247.41,23221.86,0.0,0.0,0.0,1.0,3.0,1126402.04,1.0,2.0,0.0,0.0,3.0,769035.76,3.0,3.0,3.0,79950.93666666666,62637.340000000004,0.0,0.0,1.0,2.0,8,3609680.1,2,6,2,1255207.5699999998,6,1876896.29,8,8,8,64584.19875,70410.83875,2.0,0.0,2,4,12,5372763.319999999,5,7,4,1909497.57,8,2897672.27,12,12,12,66522.29583333334,75358.10083333333,2.0,2.0,3,5,60,34752448.32,47,13,4,2038149.4900000002,53,25537979.98,60,39,50,125100.91866666666,128781.43933333334,1.0,3.0,42,11,23,11943718.94,18,5,2,1679105.75,17,7377271.53,23,20,23,92295.6104347826,115734.77826086956,0.0,2.0,14,3,260778.16,34456.75,375467.3466666667,256345.25333333333,451210.0125,312816.04833333334,447730.2766666666,362209.03375,579207.472,481848.67886792455,519292.12782608694,433957.1488235294,0
PRAC-1054,Kartik Dara,MCI/KAR/20840,1314451120,2025-09-13,1961-06-10,Female,189027670875,99978112865,kartik.doc80@clinic.com,828- Shroff Zila,0,Bangalore,Karnataka,580066,Neurology,Dermatology,2084N0400X,Maulana Azad Medical College,1988,HOSP-0039,Y,2012-01-11,Inactive,0,1.0,195113.68,0.0,1.0,0.0,0.0,1.0,679187.78,1.0,1.0,1.0,76082.59,66493.65,0.0,0.0,0.0,1.0,2.0,614733.5,0.0,2.0,0.0,0.0,2.0,1041843.8400000001,2.0,2.0,2.0,89958.195,95082.2,0.0,0.0,0.0,2.0,6,4146002.4800000004,1,5,0,0.0,6,4031941.8200000003,6,6,5,126552.15166666667,133854.405,0.0,0.0,1,5,9,5897376.260000001,4,5,1,279792.56,8,5460377.74,9,8,8,105320.43,179660.1822222222,0.0,1.0,3,5,73,43028129.18,56,17,7,6012917.039999999,60,29821630.68,72,39,64,111366.97575342466,120384.92657534247,0.0,7.0,44,16,29,27161142.64,19,10,1,207604.35,27,21955032.58,29,23,25,207518.73344827586,163831.4348275862,0.0,1.0,18,9,195113.68,679187.78,307366.75,520921.92000000004,691000.4133333334,671990.3033333333,655264.028888889,682547.2175,589426.4271232877,497027.178,936591.1255172414,813149.3548148148,0
PRAC-1055,Zara Ghose,MCI/KAR/69936,8058478295,2026-06-24,1992-06-03,Male,273951964072,98179694364,zara.doc88@clinic.com,49/178- Kale Road,0,Mysore,Karnataka,570223,Cardiology,Orthopedic Surgery,207R00000X,Maulana Azad Medical College,2021,HOSP-0014,N,2025-01-23,Active,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1788649.42,3,1,0,0.0,4,1540140.99,4,4,4,98740.625,119681.3725,0.0,0.0,3,1,9,2059463.3199999998,7,2,0,0.0,9,1767946.3399999999,9,9,9,47187.551111111105,58873.25,0.0,0.0,7,2,63,38654922.02,52,11,2,463718.75,57,29091450.29,63,35,54,150031.5187301587,121641.04253968253,0.0,2.0,47,10,32,23350361.95,26,6,1,49507.44,25,14880092.23,32,24,30,147486.009375,117865.873125,0.0,1.0,19,6,0.0,0.0,0.0,0.0,447162.355,385035.2475,228829.25777777776,196438.4822222222,613570.1907936508,510376.32087719295,729698.8109375,595203.6892,0
PRAC-1056,Ivan Loke,MCI/WES/89905,5925171628,2026-10-30,1969-07-04,Male,525685575858,97669864894,ivan.doc10@clinic.com,H.No. 40- Sarin,0,Kolkata,West Bengal,703344,General Surgery,General Practice,208600000X,Armed Forces Medical College,1996,HOSP-0012,Y,2011-06-02,Inactive,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,737900.99,2.0,1.0,0.0,0.0,3.0,649680.31,3.0,3.0,3.0,24731.01,60893.55666666667,0.0,0.0,2.0,1.0,9,3322399.13,7,2,0,0.0,8,2538353.92,9,8,9,42896.41777777778,113812.64888888889,0.0,0.0,6,2,15,13828611.57,10,5,0,0.0,13,10836769.129999999,15,13,15,122767.73066666667,244615.87000000002,0.0,0.0,8,5,60,33613669.84,43,17,7,2064647.9500000002,48,25783109.25,60,38,52,105425.52116666666,112232.63316666667,1.0,6.0,35,13,34,21073429.53,26,8,1,370440.57,30,15502299.5,34,22,32,111201.22735294118,109668.03088235293,0.0,1.0,23,7,0.0,0.0,245966.99666666667,216560.10333333336,369155.4588888889,317294.24,921907.438,833597.6253846153,560227.8306666667,537148.109375,619806.7508823529,516743.31666666665,0
PRAC-1057,Mamooty Kamdar,MCI/MAH/28278,7544066750,2026-07-18,1969-09-16,Male,53730705637,99382290253,mamooty.doc85@clinic.com,083 Ramanathan Zila,Balasubramanian Road,Mumbai,Maharashtra,457085,Cardiology,Neurology,207R00000X,Christian Medical College,1997,HOSP-0036,Y,2012-03-30,Active,0,1.0,110872.76,0.0,1.0,0.0,0.0,1.0,474856.14,1.0,1.0,1.0,16468.83,19159.85,0.0,0.0,0.0,1.0,3.0,729521.73,1.0,2.0,0.0,0.0,3.0,1076563.04,3.0,3.0,3.0,64661.83666666667,44367.19333333333,0.0,0.0,1.0,2.0,11,7653339.63,5,6,0,0.0,10,6014305.4799999995,11,10,11,212484.73272727273,116732.81272727273,0.0,0.0,5,5,13,8266689.79,7,6,0,0.0,11,6192581.83,13,10,13,191240.33846153846,104467.58230769231,0.0,0.0,6,5,66,45279897.97,45,21,8,4350561.2299999995,54,30984067.66,66,41,59,140822.46666666667,124638.51621212122,5.0,3.0,40,14,33,22027609.14,26,7,4,316062.3,28,17619069.4,33,23,29,107409.94181818182,151139.22636363635,1.0,3.0,22,6,110872.76,474856.14,243173.91,358854.3466666667,695758.1481818182,601430.548,635899.2146153846,562961.9845454545,686059.0601515152,573779.0307407407,667503.3072727273,629252.4785714286,0
PRAC-1058,Alia Saini,MCI/WES/14415,9741098173,2027-02-10,1977-06-08,Male,101987825781,99579195429,alia.doc17@clinic.com,40/751- Jain Street,0,Howrah,West Bengal,781503,Oncology,Pediatrics,207R00000X,JIPMER,2001,HOSP-0018,Y,2004-08-10,Active,0,2.0,649689.26,2.0,0.0,0.0,0.0,2.0,607385.45,2.0,2.0,2.0,102406.715,28341.72,0.0,0.0,2.0,0.0,4.0,2236270.43,4.0,0.0,0.0,0.0,4.0,1982800.46,4.0,4.0,4.0,120627.8575,59603.354999999996,0.0,0.0,4.0,0.0,9,5883054.6899999995,9,0,0,0.0,9,5241403.05,9,8,8,126846.1788888889,67080.19444444444,0.0,0.0,9,0,11,8105156.6899999995,11,0,0,0.0,11,7163635.890000001,11,9,10,133773.0090909091,79030.12090909091,0.0,0.0,11,0,64,46908707.92,51,13,6,7084534.62,53,33505818.88,64,34,55,135430.69453125,166674.30578125,1.0,5.0,43,10,36,28671338.33,28,8,3,1533551.45,29,22762222.99,36,26,33,133255.60305555555,148497.5588888889,1.0,2.0,24,5,324844.63,303692.725,559067.6075,495700.115,653672.7433333333,582378.1166666667,736832.4263636363,651239.6263636365,732948.56125,632185.2618867925,796426.0647222222,784904.2410344827,0
PRAC-1059,Hrishita Sunder,MCI/TAM/58805,6061429865,2030-06-16,1984-10-01,Other,875781666256,97020630579,hrishita.doc97@clinic.com,H.No. 13- Master Zila,Samra,Chennai,Tamil Nadu,610242,Pediatrics,Oncology,208000000X,Christian Medical College,2009,HOSP-0034,N,2013-11-19,Active,0,2.0,163439.28999999998,2.0,0.0,0.0,0.0,1.0,74253.73,2.0,2.0,2.0,7526.4349999999995,13587.78,0.0,0.0,1.0,0.0,4.0,2253626.95,3.0,1.0,0.0,0.0,2.0,690773.6,4.0,4.0,4.0,41357.9525,146217.825,0.0,0.0,1.0,1.0,9,5245209.32,6,3,2,1329176.21,5,1921099.81,9,8,9,76366.44777777778,134245.55555555556,0.0,2.0,2,3,9,5245209.32,6,3,2,1329176.21,5,1921099.81,9,8,9,76366.44777777778,134245.55555555556,0.0,2.0,2,3,56,42965439.04,45,11,5,2275625.04,47,29835312.73,56,36,49,149692.63482142857,160729.26785714287,1.0,4.0,38,9,30,17553714.7,19,11,3,1740809.46,25,13126847.219999999,30,23,30,141642.44100000002,120718.639,1.0,2.0,15,10,81719.64499999999,74253.73,563406.7375,345386.8,582801.0355555556,384219.962,582801.0355555556,384219.962,767239.9828571428,634793.8878723404,585123.8233333334,525073.8888,0
PRAC-1060,Shlok Kibe,MCI/KAR/61490,9909790093,2029-11-02,1988-02-15,Male,858938868471,97630739664,shlok.doc32@clinic.com,24/894 Suresh Street,0,Bangalore,Karnataka,574468,Neurology,General Practice,2084N0400X,All India Institute of Medical Sciences,2013,HOSP-0013,N,2017-11-18,Active,0,4.0,675824.05,3.0,1.0,0.0,0.0,4.0,1905446.48,4.0,2.0,2.0,31819.755,38800.63,0.0,0.0,3.0,1.0,6.0,3277107.72,5.0,1.0,0.0,0.0,6.0,4064949.0300000003,6.0,4.0,4.0,115576.29833333334,124530.34333333334,0.0,0.0,5.0,1.0,10,5330191.67,6,4,0,0.0,9,5702465.61,10,8,8,112839.751,102961.937,0.0,0.0,6,3,15,11513812.67,11,4,0,0.0,14,10933319.36,15,9,12,149431.00666666668,161523.46333333335,0.0,0.0,11,3,61,31358804.42,49,12,1,1244846.28,55,22543696.19,60,35,50,123223.13393442622,100607.36704918034,0.0,1.0,44,11,34,21751831.86,22,12,3,1263902.72,28,16613812.43,34,24,33,144423.98470588238,110505.39147058823,1.0,2.0,18,10,168956.0125,476361.62,546184.62,677491.505,533019.167,633607.29,767587.5113333333,780951.3828571428,514078.76098360657,409885.3852727273,639759.7605882352,593350.4439285714,0
PRAC-1061,Rati Som,MCI/DEL/53606,7592058041,2030-05-08,1985-02-08,Male,925420148045,99263351022,rati.doc74@clinic.com,00 Boase Path,0,New Delhi,Delhi,110053,Neurology,General Surgery,2084N0400X,Christian Medical College,2013,HOSP-0029,Y,2017-03-10,Active,0,3.0,1170947.57,3.0,0.0,0.0,0.0,3.0,1074441.9,3.0,3.0,3.0,76305.65333333334,55121.85,0.0,0.0,3.0,0.0,4.0,1773964.01,4.0,0.0,0.0,0.0,4.0,1570798.35,4.0,4.0,4.0,91781.9475,73398.315,0.0,0.0,4.0,0.0,8,4203482.66,7,1,0,0.0,6,2268384.21,8,8,8,106724.67874999999,51865.50375,0.0,0.0,5,1,11,5096917.14,9,2,1,455959.68,8,2651337.71,11,10,11,92568.17909090909,54361.615454545456,0.0,1.0,6,2,60,31252648.0,45,15,3,2398433.0300000003,55,24348256.68,60,37,53,117421.2945,86143.99883333333,1.0,2.0,41,14,30,17214744.2,24,6,3,826663.91,24,7499440.6899999995,30,23,26,84824.91533333334,120513.87766666667,0.0,3.0,19,5,390315.8566666667,358147.3,443491.0025,392699.5875,525435.3325,378064.035,463356.1036363636,331417.21375,520877.4666666667,442695.576,573824.8066666666,312476.6954166666,0
