prac_id,prac_name,prac_license_number,prac_NPI_Number,prac_license_expiry_date,prac_date_of_birth,prac_gender,prac_bank_account_number,prac_contact_number,prac_email_address,prac_practice_address_line1,prac_practice_address_line2,prac_practice_city,prac_practice_state,prac_practice_pincode,prac_primary_specialty,prac_secondary_specialty,prac_taxonomy_code,prac_medical_school,prac_graduation_year,prac_primary_hospital_id,prac_is_solo_practice,prac_onboarding_date,prac_practitioner_status,prac_sanction_history_details
PRAC-1014,Kashvi Tata,MCI/KAR/80932,7214128829,2028-11-27,1968-07-06,Other,490955071193,99438155609,kashvi.doc65@clinic.com,17/303- Mallick Nagar,Joshi Marg,Bangalore,Karnataka,583618,Cardiology,Neurology,207R00000X,Christian Medical College,1993,HOSP-0025,Y,2013-04-21,Under Review,
PRAC-1015,Reyansh Zachariah,MCI/TAM/68716,9938201687,2026-11-26,1961-08-30,Other,997401619224,98228996371,reyansh.doc89@clinic.com,01 Sachdeva Path,Ramaswamy Zila,Madurai,Tamil Nadu,664055,General Practice,Dermatology,208D00000X,Christian Medical College,1986,HOSP-0017,N,2015-10-30,Active,
PRAC-1016,Taimur Grover,MCI/MAH/80535,7058304551,2029-11-09,1966-01-06,Male,825378068961,99882564562,taimur.doc97@clinic.com,24/549- Batra Chowk,Lall Nagar,Pune,Maharashtra,447288,Cardiology,Orthopedic Surgery,207R00000X,All India Institute of Medical Sciences,1991,HOSP-0022,N,2016-08-13,Active,
PRAC-1017,Kiaan Vala,MCI/WES/55198,2937863450,2026-11-27,1964-05-30,Female,611159596578,99226503686,kiaan.doc92@clinic.com,65/602- Venkataraman Nagar,Keer,Howrah,West Bengal,778110,Orthopedic Surgery,Oncology,207X00000X,Maulana Azad Medical College,1993,HOSP-0031,N,2021-05-10,Active,
PRAC-1018,Sahil Rege,MCI/MAH/35316,6637806777,2028-02-03,1990-07-08,Female,045939031033,99896980904,sahil.doc28@clinic.com,71/272- Gopal Street,,Pune,Maharashtra,462744,General Surgery,Oncology,208600000X,Maulana Azad Medical College,2015,HOSP-0014,N,2017-05-26,Active,
PRAC-1019,Vanya Deshpande,MCI/MAH/74186,0699152824,2028-11-21,1976-05-06,Male,639890140222,97326386202,vanya.doc36@clinic.com,H.No. 995 Shankar Ganj,Agarwal Street,Mumbai,Maharashtra,433233,Dermatology,General Practice,207N00000X,All India Institute of Medical Sciences,2004,HOSP-0034,Y,2017-06-11,Active,
PRAC-1020,Sumer Varkey,MCI/DEL/88512,0201664222,2028-03-07,1969-12-12,Other,309973569227,97261301855,sumer.doc8@clinic.com,05/01- Rajagopal Chowk,Mangal,New Delhi,Delhi,110087,General Surgery,Cardiology,208600000X,Kasturba Medical College,1994,HOSP-0048,N,2015-10-31,Under Review,
PRAC-1021,Raghav Khosla,MCI/DEL/22477,5237768986,2026-08-30,1994-02-10,Other,516523434888,97463353538,raghav.doc58@clinic.com,32/376- Sathe Street,Vasa Zila,New Delhi,Delhi,110024,Orthopedic Surgery,General Surgery,207X00000X,Christian Medical College,2023,HOSP-0014,Y,2025-02-27,Active,
PRAC-1022,Nishith Bhasin,MCI/DEL/99642,3969451996,2026-12-15,1980-04-11,Other,872091281485,97974335145,nishith.doc84@clinic.com,424- Bora Path,,New Delhi,Delhi,110068,Oncology,Orthopedic Surgery,207R00000X,Kasturba Medical College,2009,HOSP-0049,Y,2019-07-18,Under Review,
PRAC-1023,Amira Sharaf,MCI/TAM/48276,7983390992,2026-09-21,1993-01-18,Female,212003412899,99231653195,amira.doc69@clinic.com,53/87- Kumer Marg,,Chennai,Tamil Nadu,657877,General Practice,Orthopedic Surgery,208D00000X,All India Institute of Medical Sciences,2020,HOSP-0029,N,2024-03-22,Under Review,
PRAC-1024,Navya Manne,MCI/TAM/95678,7071130048,2030-06-14,1969-02-25,Other,509316658856,98782691952,navya.doc39@clinic.com,94/906 Basak,Vasa Chowk,Madurai,Tamil Nadu,604301,Oncology,Orthopedic Surgery,207R00000X,Armed Forces Medical College,1996,HOSP-0008,N,2025-04-23,Inactive,
PRAC-1025,Aaryahi Jayaraman,MCI/TAM/93459,0088799471,2028-07-18,1980-12-09,Other,575606488672,99577040271,aaryahi.doc76@clinic.com,40/641- Mandal Circle,,Coimbatore,Tamil Nadu,692932,Pediatrics,General Practice,208000000X,Kasturba Medical College,2005,HOSP-0029,Y,2010-12-12,Active,
PRAC-1026,Ehsaan Bir,MCI/DEL/80961,0874555163,2028-12-30,1996-07-14,Male,003181026596,98056025528,ehsaan.doc59@clinic.com,26/49- Konda Ganj,,New Delhi,Delhi,110052,Orthopedic Surgery,Neurology,207X00000X,All India Institute of Medical Sciences,2024,HOSP-0041,N,2026-01-01,Inactive,
PRAC-1027,Mannat Kalla,MCI/WES/82700,9640565088,2029-07-25,1978-08-21,Male,781211031226,97510780546,mannat.doc50@clinic.com,17- Bhatnagar Road,,Kolkata,West Bengal,771815,Oncology,General Surgery,207R00000X,Kasturba Medical College,2006,HOSP-0006,N,2023-05-01,Active,
PRAC-1028,Dhanuk Wadhwa,MCI/KAR/22509,1483498393,2029-05-14,1961-11-20,Female,167973818165,99445783418,dhanuk.doc44@clinic.com,62/072 Sharma,,Mysore,Karnataka,589371,Cardiology,,207R00000X,JIPMER,1987,HOSP-0022,N,2000-03-02,Active,
PRAC-1029,Piya Suri,MCI/TAM/41098,2099408309,2028-07-05,1959-12-01,Male,790826950519,98104445357,piya.doc81@clinic.com,07- D’Alia Path,,Coimbatore,Tamil Nadu,674861,General Practice,Cardiology,208D00000X,Kasturba Medical College,1986,HOSP-0039,Y,2014-02-17,Active,
PRAC-1030,Gatik Sachdev,MCI/MAH/95833,9440130956,2026-08-16,1988-11-22,Male,377836979481,97571832022,gatik.doc54@clinic.com,H.No. 313 Varughese Nagar,,Nagpur,Maharashtra,499928,Cardiology,Oncology,207R00000X,Maulana Azad Medical College,2018,HOSP-0038,N,2025-02-16,Active,
PRAC-1031,Samaira Sani,MCI/MAH/83491,9673355747,2028-10-14,1976-12-19,Male,902331822484,97056543059,samaira.doc67@clinic.com,H.No. 522- Jain Marg,Kannan Path,Nagpur,Maharashtra,471761,Oncology,Orthopedic Surgery,207R00000X,Kasturba Medical College,2005,HOSP-0013,N,2016-02-14,Active,
PRAC-1032,Nishith Thaker,MCI/MAH/32021,0004247589,2029-05-04,1992-10-29,Female,957806560828,98334843688,nishith.doc28@clinic.com,431 Gole Road,,Pune,Maharashtra,408927,Orthopedic Surgery,,207X00000X,JIPMER,2020,HOSP-0047,N,2023-11-10,Active,
PRAC-1033,Samiha Babu,MCI/WES/66690,9630229875,2029-04-29,1961-05-12,Male,685127483230,98849456520,samiha.doc6@clinic.com,35 Ahluwalia Street,Rajagopalan Marg,Howrah,West Bengal,772538,General Surgery,General Practice,208600000X,Armed Forces Medical College,1987,HOSP-0019,Y,1991-12-28,Active,
PRAC-1034,Aaina Kibe,MCI/DEL/46502,5666877328,2027-08-05,1977-11-05,Other,670828701291,99618733652,aaina.doc21@clinic.com,10/38- Bhandari Circle,,New Delhi,Delhi,110007,Cardiology,Pediatrics,207R00000X,Maulana Azad Medical College,2005,HOSP-0019,N,2024-04-10,Active,
PRAC-1035,Aniruddh Bansal,MCI/DEL/70518,3664429578,2028-12-15,1992-05-12,Other,415552244291,99399055477,aniruddh.doc84@clinic.com,52/74 Hayre Road,Bala,New Delhi,Delhi,110016,Cardiology,Dermatology,207R00000X,Maulana Azad Medical College,2018,HOSP-0042,N,2020-12-06,Active,
PRAC-1036,Samarth Vaidya,MCI/WES/53695,7696545859,2030-01-27,1987-12-15,Female,074258271084,99325490776,samarth.doc60@clinic.com,748 Rau Road,Kamdar Path,Kolkata,West Bengal,758117,Cardiology,General Practice,207R00000X,Kasturba Medical College,2012,HOSP-0014,N,2022-06-12,Active,
PRAC-1037,Arhaan Gala,MCI/WES/46565,7526301148,2029-03-21,1985-12-03,Male,518243287829,99885995424,arhaan.doc82@clinic.com,25 Shukla Ganj,Bhasin Chowk,Howrah,West Bengal,705534,Neurology,Pediatrics,2084N0400X,Christian Medical College,2011,HOSP-0003,Y,2024-02-13,Active,
PRAC-1038,Taran Gole,MCI/WES/26384,9619268563,2027-05-29,1996-04-06,Female,564813128530,99736975329,taran.doc74@clinic.com,H.No. 029 Char Zila,Bassi Zila,Howrah,West Bengal,768461,Orthopedic Surgery,,207X00000X,Christian Medical College,2022,HOSP-0040,Y,2025-06-24,Under Review,
PRAC-1039,Misha Raja,MCI/WES/94028,7833838057,2029-09-05,1979-12-20,Other,699709134243,97055372306,misha.doc90@clinic.com,08/25- Ratti Street,Chaudhari Marg,Howrah,West Bengal,731354,Oncology,,207R00000X,JIPMER,2006,HOSP-0046,Y,2019-12-15,Active,
PRAC-1040,Ivana Gour,MCI/WES/88001,5991185579,2026-09-27,1969-04-10,Male,079595284812,97195321962,ivana.doc64@clinic.com,438 Barman Chowk,,Howrah,West Bengal,727215,General Surgery,Neurology,208600000X,Maulana Azad Medical College,1995,HOSP-0031,N,2015-09-25,Active,
PRAC-1041,Mamooty Banerjee,MCI/DEL/28311,8421514256,2027-01-31,1986-01-01,Female,593748194781,97145747938,mamooty.doc48@clinic.com,H.No. 46 Chana Chowk,Tailor Nagar,New Delhi,Delhi,110005,General Practice,General Surgery,208D00000X,Armed Forces Medical College,2013,HOSP-0047,Y,2016-07-21,Active,
PRAC-1042,Lagan Rout,MCI/WES/32319,0907702023,2028-11-23,1996-03-03,Male,238032651249,99355607526,lagan.doc28@clinic.com,00 De Circle,,Howrah,West Bengal,747195,Neurology,,2084N0400X,JIPMER,2023,HOSP-0008,N,2025-06-12,Active,
PRAC-1043,Shayak Sehgal,MCI/DEL/35271,7464278709,2027-04-13,1966-09-27,Other,351958839368,97287828367,shayak.doc17@clinic.com,989- Thaker Path,,New Delhi,Delhi,110037,Pediatrics,Orthopedic Surgery,208000000X,Kasturba Medical College,1995,HOSP-0005,Y,2016-02-18,Active,
PRAC-1044,Charvi Bava,MCI/KAR/68816,2616305459,2029-01-16,1963-11-04,Other,101103603718,99011707216,charvi.doc4@clinic.com,63/374- Mani Street,Korpal Street,Mysore,Karnataka,576474,Orthopedic Surgery,Oncology,207X00000X,All India Institute of Medical Sciences,1991,HOSP-0013,N,2025-03-30,Active,
PRAC-1045,Indrans Barman,MCI/MAH/62286,4532618677,2029-11-05,1980-03-17,Male,498140966050,98947564791,indrans.doc10@clinic.com,93/203- Vig Zila,Deol Chowk,Mumbai,Maharashtra,454812,Dermatology,Cardiology,207N00000X,Kasturba Medical College,2008,HOSP-0004,Y,2024-07-29,Sanctioned,Provident occaecati sapiente quibusdam omnis quo pariatur quo quod modi nostrum quod.
PRAC-1046,Aradhya Chakrabarti,MCI/TAM/53497,5321199435,2026-04-15,1960-05-04,Other,708464065874,97689089627,aradhya.doc59@clinic.com,21/11- Dhaliwal Road,,Coimbatore,Tamil Nadu,659654,Cardiology,General Surgery,207R00000X,All India Institute of Medical Sciences,1987,HOSP-0003,N,2019-06-21,Active,
PRAC-1047,Pari Choudhury,MCI/TAM/16575,2451813121,2025-11-11,1980-08-19,Male,800735971717,99316333298,pari.doc69@clinic.com,H.No. 20 Rajan Ganj,,Madurai,Tamil Nadu,643084,General Practice,Cardiology,208D00000X,Kasturba Medical College,2005,HOSP-0007,Y,2013-04-22,Active,
PRAC-1048,Amira Tak,MCI/WES/36987,0009104908,2029-05-30,1992-07-26,Female,244735280475,99321223056,amira.doc12@clinic.com,09 Gulati Path,Buch Nagar,Howrah,West Bengal,706165,General Surgery,Dermatology,208600000X,Maulana Azad Medical College,2017,HOSP-0022,Y,2020-08-28,Active,
PRAC-1049,Nirvaan Rajan,MCI/DEL/29655,3896519973,2030-03-13,1982-12-11,Other,788210554760,97923304899,nirvaan.doc69@clinic.com,55/56- Comar Street,Kurian Circle,New Delhi,Delhi,110017,Pediatrics,Orthopedic Surgery,208000000X,JIPMER,2009,HOSP-0023,Y,2012-11-26,Active,
PRAC-1050,Anaya Kuruvilla,MCI/MAH/55999,6065367904,2030-02-13,1972-06-06,Male,584572681349,98574494353,anaya.doc8@clinic.com,58- Banerjee Road,,Mumbai,Maharashtra,410655,Oncology,,207R00000X,All India Institute of Medical Sciences,1999,HOSP-0046,Y,2017-06-25,Inactive,
PRAC-1051,Jayant Dada,MCI/MAH/98062,2703042098,2029-04-27,1961-08-16,Female,391787477351,99617090799,jayant.doc96@clinic.com,H.No. 26 Batra Street,Kulkarni Road,Pune,Maharashtra,453235,Dermatology,Neurology,207N00000X,Christian Medical College,1986,HOSP-0026,N,2013-03-31,Active,
PRAC-1052,Jayesh Chhabra,MCI/KAR/33899,5986957875,2029-04-04,1977-08-25,Female,650215579651,99112603609,jayesh.doc41@clinic.com,346 Karnik Road,Deshmukh,Mysore,Karnataka,573617,Cardiology,General Surgery,207R00000X,Kasturba Medical College,2006,HOSP-0003,Y,2021-06-25,Under Review,
PRAC-1053,Kimaya Sridhar,MCI/DEL/59138,4961110982,2027-03-06,1970-02-03,Other,389235727547,98931788959,kimaya.doc8@clinic.com,H.No. 208- Baria Marg,,New Delhi,Delhi,110053,Neurology,Oncology,2084N0400X,Maulana Azad Medical College,1998,HOSP-0022,N,2014-08-05,Active,
PRAC-1054,Kaira Mannan,MCI/KAR/20840,2124222311,2025-09-25,1990-02-05,Female,605964063311,99978112865,kaira.doc80@clinic.com,H.No. 38- Trivedi Chowk,,Bangalore,Karnataka,580066,Neurology,Dermatology,2084N0400X,Maulana Azad Medical College,2016,HOSP-0039,Y,2020-07-13,Inactive,
PRAC-1055,Gatik Brar,MCI/KAR/69936,4775666653,2027-06-15,1989-10-26,Male,508444179950,98179694364,gatik.doc88@clinic.com,H.No. 83- Gupta Road,,Mysore,Karnataka,570223,Cardiology,Orthopedic Surgery,207R00000X,Maulana Azad Medical College,2018,HOSP-0014,N,2023-01-08,Active,
PRAC-1056,Kimaya Ghose,MCI/WES/89905,8646004206,2029-04-21,1979-03-14,Male,723113265269,97669864894,kimaya.doc10@clinic.com,H.No. 49 Subramanian Marg,,Kolkata,West Bengal,703344,General Surgery,General Practice,208600000X,Armed Forces Medical College,2006,HOSP-0012,Y,2025-05-02,Inactive,
PRAC-1057,Azad Amble,MCI/MAH/28278,4598385224,2029-01-16,1991-03-19,Male,327275331946,99382290253,azad.doc85@clinic.com,64/799- Wali Path,Vyas Nagar,Mumbai,Maharashtra,457085,Cardiology,Neurology,207R00000X,Christian Medical College,2020,HOSP-0036,Y,2023-11-15,Active,
PRAC-1058,Anaya Gokhale,MCI/WES/14415,4174187116,2026-10-24,1976-08-05,Male,816775168029,99579195429,anaya.doc17@clinic.com,94/66- Banik Nagar,,Howrah,West Bengal,781503,Oncology,Pediatrics,207R00000X,JIPMER,2003,HOSP-0018,Y,2013-10-31,Active,
PRAC-1059,Urvi Ramaswamy,MCI/TAM/58805,2779275563,2029-09-25,1984-03-17,Other,046025494715,97020630579,urvi.doc97@clinic.com,58/80 Keer Road,Wable Path,Chennai,Tamil Nadu,610242,Pediatrics,Oncology,208000000X,Christian Medical College,2008,HOSP-0034,N,2011-03-22,Active,
PRAC-1060,Vanya Walla,MCI/KAR/61490,6537977088,2027-11-29,1963-03-10,Male,993147814048,97630739664,vanya.doc32@clinic.com,86 Biswas Street,,Bangalore,Karnataka,574468,Neurology,General Practice,2084N0400X,All India Institute of Medical Sciences,1991,HOSP-0013,N,1996-04-07,Active,
PRAC-1061,Devansh Chandra,MCI/DEL/53606,4665309727,2030-01-11,1994-06-21,Male,189043365262,99263351022,devansh.doc74@clinic.com,299 Suri Path,,New Delhi,Delhi,110053,Neurology,General Surgery,2084N0400X,Christian Medical College,2022,HOSP-0029,Y,2025-05-20,Active,
PRAC-1062,Miraan Agarwal,MCI/WES/41769,6273116350,2026-12-31,1961-08-15,Female,789607834198,97902234109,miraan.doc46@clinic.com,95/744 Madan Nagar,Chadha Chowk,Howrah,West Bengal,798494,Dermatology,Oncology,207N00000X,Armed Forces Medical College,1987,HOSP-0019,Y,1997-04-28,Active,
PRAC-1063,Devansh Iyengar,MCI/TAM/81652,7256322886,2029-12-12,1962-01-25,Male,872440964624,97976461445,devansh.doc67@clinic.com,H.No. 539 Konda Ganj,,Coimbatore,Tamil Nadu,671787,Oncology,,207R00000X,Kasturba Medical College,1988,HOSP-0018,Y,2010-04-12,Sanctioned,Animi exercitationem eum ducimus necessitatibus tempora a aut est aut.
PRAC-1064,Nishith Comar,MCI/KAR/49662,1887731469,2025-09-28,1996-06-13,Other,115337724776,97142981046,nishith.doc11@clinic.com,H.No. 77- Kata Ganj,,Mysore,Karnataka,579673,General Surgery,General Practice,208600000X,Armed Forces Medical College,2022,HOSP-0005,N,2024-10-29,Active,
PRAC-1065,Ivan Chowdhury,MCI/TAM/56351,0589991984,2026-10-12,1962-03-11,Female,839784798226,97167617793,ivan.doc34@clinic.com,H.No. 14 Kapoor Path,,Coimbatore,Tamil Nadu,685738,Oncology,Dermatology,207R00000X,Armed Forces Medical College,1988,HOSP-0013,Y,2004-07-07,Active,
PRAC-1066,Rati De,MCI/DEL/44807,3979783868,2026-09-04,1981-09-30,Other,314860894353,97455525883,rati.doc86@clinic.com,32 Bakshi Nagar,,New Delhi,Delhi,110080,General Practice,Pediatrics,208D00000X,All India Institute of Medical Sciences,2010,HOSP-0018,Y,2024-03-18,Active,
PRAC-1067,Tarini Bora,MCI/DEL/57672,8847083027,2027-11-19,1962-03-24,Other,060250872772,99989751240,tarini.doc68@clinic.com,H.No. 334- Gole Circle,,New Delhi,Delhi,110045,Dermatology,General Surgery,207N00000X,Armed Forces Medical College,1986,HOSP-0041,N,2019-03-16,Active,
PRAC-1068,Shaan Ramachandran,MCI/MAH/62453,0737022180,2028-11-20,1971-10-13,Male,753281678556,98167754274,shaan.doc41@clinic.com,H.No. 901- Kari Chowk,,Pune,Maharashtra,413967,Neurology,General Surgery,2084N0400X,Kasturba Medical College,1997,HOSP-0005,Y,2005-09-05,Active,
PRAC-1069,Raghav Bhatnagar,MCI/DEL/13101,8193182014,2027-01-27,1964-08-14,Other,377584950556,99615364748,raghav.doc66@clinic.com,H.No. 560- Agarwal Road,,New Delhi,Delhi,110055,General Practice,Dermatology,208D00000X,Kasturba Medical College,1992,HOSP-0019,N,2009-04-04,Active,
PRAC-1070,Umang Sama,MCI/TAM/48731,1974346526,2028-04-23,1978-01-27,Male,846609611205,97082946397,umang.doc10@clinic.com,H.No. 02 Kale Circle,,Madurai,Tamil Nadu,663295,Cardiology,Pediatrics,207R00000X,All India Institute of Medical Sciences,2005,HOSP-0035,N,2019-12-27,Under Review,
PRAC-1071,Drishya Kibe,MCI/MAH/21950,8580374316,2029-04-11,1982-01-23,Other,775167072648,98377069232,drishya.doc14@clinic.com,60 Kala Road,,Pune,Maharashtra,464796,Neurology,General Practice,2084N0400X,Kasturba Medical College,2008,HOSP-0025,N,2012-12-23,Active,
PRAC-1072,Diya Bali,MCI/DEL/90881,5448242268,2028-11-15,1983-10-06,Male,240099588913,98767690542,diya.doc14@clinic.com,60/11- Sen Road,Dasgupta Nagar,New Delhi,Delhi,110011,General Surgery,,208600000X,Kasturba Medical College,2013,HOSP-0049,Y,2018-10-22,Active,
PRAC-1073,Anay Ram,MCI/TAM/51764,7189160425,2026-04-20,1995-06-22,Other,904499066997,99736970476,anay.doc81@clinic.com,64/84- Swamy Marg,,Madurai,Tamil Nadu,684626,Pediatrics,Oncology,208000000X,JIPMER,2019,HOSP-0015,N,2024-10-13,Active,
PRAC-1074,Akarsh Sahota,MCI/MAH/54719,5024093142,2025-10-21,1997-07-14,Male,381903351769,99283735572,akarsh.doc84@clinic.com,71/898 Ghose Nagar,Kalla,Nagpur,Maharashtra,479970,Orthopedic Surgery,Pediatrics,207X00000X,Maulana Azad Medical College,2024,HOSP-0044,Y,2026-01-01,Active,
PRAC-1075,Kartik Raman,MCI/KAR/28662,2965852808,2026-12-02,1963-10-24,Female,395411402773,97037319701,kartik.doc63@clinic.com,65- Kunda Zila,Rao Zila,Mysore,Karnataka,572254,Pediatrics,General Surgery,208000000X,Armed Forces Medical College,1991,HOSP-0023,Y,2013-08-02,Sanctioned,Nemo suscipit id rem consectetur accusantium optio porro.
PRAC-1076,Vritika Loyal,MCI/WES/36708,0121711282,2029-09-09,1990-01-27,Other,662413428148,99501530937,vritika.doc34@clinic.com,H.No. 783 Varkey Marg,,Howrah,West Bengal,748680,General Surgery,Oncology,208600000X,Armed Forces Medical College,2019,HOSP-0050,Y,2022-05-16,Active,
PRAC-1077,Ela Dutta,MCI/DEL/13121,7414033439,2029-07-11,1985-06-30,Female,011745299680,99762018350,ela.doc98@clinic.com,H.No. 55 Issac Marg,,New Delhi,Delhi,110026,Oncology,Cardiology,207R00000X,JIPMER,2010,HOSP-0013,N,2017-09-29,Active,
PRAC-1078,Raghav Balakrishnan,MCI/KAR/48708,7783405047,2028-01-16,1966-01-17,Female,455840614764,97480177015,raghav.doc83@clinic.com,508- Gaba Marg,Bumb Road,Mysore,Karnataka,587902,General Surgery,Pediatrics,208600000X,All India Institute of Medical Sciences,1993,HOSP-0050,N,2017-03-20,Active,
PRAC-1079,Hrishita Cherian,MCI/DEL/40289,6912475210,2030-02-07,1968-02-14,Other,474468672296,99421857248,hrishita.doc65@clinic.com,H.No. 76- Bhatnagar Zila,,New Delhi,Delhi,110017,Cardiology,Pediatrics,207R00000X,Maulana Azad Medical College,1995,HOSP-0023,N,2014-01-04,Active,
PRAC-1080,Lagan Mane,MCI/TAM/73689,8708269546,2028-09-28,1966-01-14,Female,745664986835,98214124067,lagan.doc66@clinic.com,13 Doshi Street,,Chennai,Tamil Nadu,657754,General Surgery,Oncology,208600000X,Armed Forces Medical College,1995,HOSP-0018,Y,1997-08-01,Active,
PRAC-1081,Saanvi Singhal,MCI/DEL/75394,7862224781,2029-08-20,1978-12-23,Male,977093835632,97112844904,saanvi.doc19@clinic.com,16/32 Deshmukh Nagar,Khanna Nagar,New Delhi,Delhi,110068,General Surgery,Oncology,208600000X,Kasturba Medical College,2008,HOSP-0003,N,2022-09-12,Active,
PRAC-1082,Prerak Goda,MCI/DEL/46009,4985769322,2026-01-26,1977-10-27,Other,213477217108,97667868838,prerak.doc11@clinic.com,50/36 Kala Street,,New Delhi,Delhi,110040,General Surgery,Cardiology,208600000X,Maulana Azad Medical College,2003,HOSP-0032,Y,2006-06-05,Active,
PRAC-1083,Aayush Khosla,MCI/DEL/74401,1074815763,2029-04-15,1966-04-13,Female,253917261407,97518732448,aayush.doc15@clinic.com,H.No. 23 Bhatia Zila,,New Delhi,Delhi,110056,General Practice,Pediatrics,208D00000X,Armed Forces Medical College,1993,HOSP-0002,N,1999-10-19,Active,
